Site,Charoen Pokphand Madiun
Catatan,14 hari = window relatif MAX(date_key) di mart.mart_string_performance_daily untuk site ini.

tanggal,site_avg_pr_ghi_pct,site_avg_daily_ghi_kwh_m2,site_total_energy_kwh,string_row_count
2026-04-14,63.869,6.3446,4821.24,168
2026-04-15,51.519,6.0403,3698.88,168
2026-04-16,64.212,6.7480,5154.90,168
2026-04-17,62.532,6.6627,4956.59,168
2026-04-18,63.802,6.3303,4804.83,168
2026-04-19,63.339,6.1737,4651.97,168
2026-04-20,64.311,6.4904,4965.69,168
2026-04-21,63.889,6.1662,4686.35,168
2026-04-22,72.072,1.5682,1344.73,168
2026-04-23,62.045,6.4864,4788.61,168
2026-04-24,64.470,5.6595,4340.71,168
2026-04-25,64.262,5.9347,4537.58,168
2026-04-26,62.568,5.4310,4042.54,168
2026-04-27,66.104,4.5972,3615.70,168
