Site,Charoen Pokphand Madiun
Keterangan,25 string dengan rata-rata PR GHI terendah; prioritas inspeksi/cleaning.

inverter_name,string_number,avg_pr_ghi_pct_14d,days_zero_energy,days_in_period
CPMAD-INV-03,2,0.000,14,14
CPMAD-INV-04.,2,0.000,14,14
CPMAD-INV-01.,2,0.000,14,14
CPMAD-INV-03,4,0.000,14,14
CPMAD-INV-06,2,0.000,14,14
CPMAD-INV-07.,2,0.000,14,14
CPMAD-INV-04.,23,0.000,14,14
CPMAD-INV-05.,4,0.000,14,14
CPMAD-INV-04.,4,0.000,14,14
CPMAD-INV-06,23,0.000,14,14
CPMAD-INV-07.,4,0.000,14,14
CPMAD-INV-06,4,0.000,14,14
CPMAD-INV-01.,23,0.000,14,14
CPMAD-INV-05.,2,0.000,14,14
CPMAD-INV-01.,4,0.000,14,14
CPMAD-INV-02.,15,51.851,0,14
CPMAD-INV-02.,19,53.469,0,14
CPMAD-INV-02.,5,54.239,0,14
CPMAD-INV-02.,13,55.574,0,14
CPMAD-INV-02.,11,56.362,0,14
CPMAD-INV-02.,7,60.175,0,14
CPMAD-INV-02.,9,60.214,0,14
CPMAD-INV-02.,21,60.702,0,14
CPMAD-INV-02.,23,61.117,0,14
CPMAD-INV-02.,1,62.817,0,14
