Site,Charoen Pokphand Madiun
Periode,2026-04-14 s/d 2026-04-27

tanggal,inverter_name,string_number,daily_energy_kwh,daily_ghi_kwh_m2,pr_ghi_pct,pr_poa_pct,string_dc_kw_stc
2026-04-14,CPMAD-INV-01.,1,60.3115,6.344592,77.918,83.728,12.2000
2026-04-14,CPMAD-INV-01.,2,0.0000,6.344592,0.000,0.000,
2026-04-14,CPMAD-INV-01.,3,56.9393,6.344592,73.561,79.046,12.2000
2026-04-14,CPMAD-INV-01.,4,0.0000,6.344592,0.000,0.000,
2026-04-14,CPMAD-INV-01.,5,59.7063,6.344592,77.136,82.888,12.2000
2026-04-14,CPMAD-INV-01.,6,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,7,60.3419,6.344592,77.957,83.770,12.2000
2026-04-14,CPMAD-INV-01.,8,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,9,59.6153,6.344592,77.018,82.762,12.2000
2026-04-14,CPMAD-INV-01.,10,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,11,60.5335,6.344592,78.205,84.036,12.2000
2026-04-14,CPMAD-INV-01.,12,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,13,60.0937,6.344592,77.636,83.426,12.2000
2026-04-14,CPMAD-INV-01.,14,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,15,60.1305,6.344592,77.684,83.477,12.2000
2026-04-14,CPMAD-INV-01.,16,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,17,60.7081,6.344592,78.430,84.279,12.2000
2026-04-14,CPMAD-INV-01.,18,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,19,60.1196,6.344592,77.670,83.462,12.2000
2026-04-14,CPMAD-INV-01.,20,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,21,59.6160,6.344592,77.019,82.762,12.2000
2026-04-14,CPMAD-INV-01.,22,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-01.,23,0.0000,6.344592,0.000,0.000,12.2000
2026-04-14,CPMAD-INV-01.,24,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-02.,1,47.8564,6.344592,61.827,66.437,12.2000
2026-04-14,CPMAD-INV-02.,2,46.5749,6.344592,75.214,80.823,
2026-04-14,CPMAD-INV-02.,3,48.5320,6.344592,62.700,67.375,12.2000
2026-04-14,CPMAD-INV-02.,4,47.7306,6.344592,77.080,82.828,
2026-04-14,CPMAD-INV-02.,5,41.4609,6.344592,53.564,57.559,12.2000
2026-04-14,CPMAD-INV-02.,6,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-02.,7,46.7490,6.344592,60.396,64.900,12.2000
2026-04-14,CPMAD-INV-02.,8,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-02.,9,46.7966,6.344592,60.458,64.966,12.2000
2026-04-14,CPMAD-INV-02.,10,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-02.,11,44.2142,6.344592,57.121,61.381,12.2000
2026-04-14,CPMAD-INV-02.,12,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-02.,13,43.8222,6.344592,56.615,60.837,12.2000
2026-04-14,CPMAD-INV-02.,14,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-02.,15,39.3307,6.344592,50.812,54.601,12.2000
2026-04-14,CPMAD-INV-02.,16,0.0000,6.344592,,0.000,
