Site,Energy Meter (IEM3255),Tanggal,Negative active,Positive Active,Daily GHI
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-17,3563.77,1.03,0.0022222222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-18,6524.66,1.62,0.020555555555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-19,11653.18,2.25,5.063888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-20,16468.96,2.93,4.700277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-21,20047.74,3.57,3.477777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-22,25937.77,4.13,5.6325
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-23,30750.21,4.66,4.601944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-24,36286.13,5.26,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-25,41679.63,5.84,2.9055555555555554
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-26,46420.25,6.42,4.506111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-27,50904.33,6.94,4.123055555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-03,53410.54,7.44,2.4294444444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-04,55898.61,8.02,2.091666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-05,60684.65,8.65,4.382777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-06,63623.43,9.31,2.5330555555555554
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-07,64407.91,9.95,1.51
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-08,69254.57,10.53,4.457222222222223
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-09,70470.05,11.16,1.0827777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-10,74145.27,11.75,3.192222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-11,78879.14,12.32,4.401944444444444
