Site,Energy Meter (Revenue),Tanggal,Negative active,Positive Active,Daily GHI
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-01,894731.0181,1221412000.0,4.9505093
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-02,898973.999,1225832250.0,4.0245938
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-03,903231.0181,1232235125.0,5.9452964
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-04,907518.9819,1236819750.0,4.0750762
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-05,911741.0278,1242567500.0,5.1479409
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-06,915965.0269,1248764750.0,5.6832773
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-07,920502.9907,1255122125.0,5.7968931
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-08,924742.981,1261343500.0,5.6908604
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-09,928880.9814,1266634250.0,4.9107393
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-10,933331.9702,1271372125.0,4.4325005
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-11,937487.9761,1277273250.0,5.49152
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-12,941755.9814,1283441500.0,5.6890537
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-13,945908.02,1289092500.0,5.272228
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-14,950341.0034,1294039375.0,4.5239819
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-15,954106.9946,1298404500.0,3.9879736
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-16,958294.9829,1304931000.0,6.0917407
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-17,962515.0146,1310906875.0,5.4977148
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-18,966682.9834,1318118750.0,6.790293
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-19,970919.0063,1325275250.0,6.7352183
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-20,975127.0142,1332148375.0,6.4598867
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-21,979356.0181,1339466000.0,6.9055317
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-22,983544.9829,1344035625.0,4.1157295
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-23,987552.9785,1349915375.0,5.4509126
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-24,991616.0278,1355821125.0,5.5541162
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-25,995750.0,1361633875.0,5.4113916
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-26,999974.9756,1368605875.0,6.656939
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-27,1003638.977,1375246500.0,5.3391265
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-28,1006091.98,1380274250.0,5.3099985
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-29,1010106.018,1386074250.0,5.3274712
Charoen Pokphand Bandung,CPBDG-EM-POI,2026-04-30,1014223.999,1390269750.0,3.7943672
Charoen Pokphand Madiun,CPMAD-EM-POI-01,2026-04-21,119127.9984,564319437.5,6.1662427
Charoen Pokphand Madiun,CPMAD-EM-POI-01,2026-04-27,121861.0001,576683000.0,4.597208
Charoen Pokphand Madiun,CPMAD-EM-POI-01,2026-04-28,122336.998,578851687.5,5.1523438
Charoen Pokphand Madiun,CPMAD-EM-POI-01,2026-04-29,122779.9988,580746750.0,4.5843018
Charoen Pokphand Madiun,CPMAD-EM-POI-01,2026-04-30,123304.0009,582342812.5,3.7113635
Charoen Pokphand Madiun,CPMAD-EM-POI-02,2026-04-21,415093750.0,10278539.06,6.1662427
Charoen Pokphand Madiun,CPMAD-EM-POI-02,2026-04-27,424931468.8,10285622.07,4.597208
Charoen Pokphand Madiun,CPMAD-EM-POI-02,2026-04-28,426632875.0,10286716.8,5.1523438
