Site,Availability hours,Unavailability hours,Total Time,List of issue dates,POA (kWh/m²)
"Charoen Pokphand Bandung",345.366668,3.983334,712.333334,,150.273869
"Charoen Pokphand Madiun",349.892858,1.547619,524.916667,,162.063955
"Charoen Pokphand Majalengka",324.238095,27.464286,709.000000,"2026-04-01, 2026-04-02, 2026-04-05, 2026-04-06, 2026-04-13, 2026-04-14, 2026-04-16, 2026-04-17, 2026-04-30",158.146971
"Garuda Metalindo (IKP)",327.472221,0.250000,648.833339,,127.658385
"Garuda Metalindo (MPF)",339.249999,0.055556,697.083334,,127.288395
"Garuda Metalindo 1",355.208334,0.041667,720.000000,,165.067106
"Garuda Metalindo 2",355.777775,0.000000,720.000000,,131.507889
"Hidden Valley",0.000000,0.000000,718.666666,,0.000000
"PLTS Frina Lestari Nusantara",354.535713,0.000000,720.000000,,145.207181
"PLTS Mall Panakkukang",352.008333,0.000000,370.166669,,154.023712
"PLTS On Grid Sorini Towa Berlian Corporindo",356.316668,0.000000,718.833333,"2026-04-26, 2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30",0.000000
"PLTS ONGRID PT SUPARMA TBK",354.849206,7.111112,380.000001,,144.204095
"PLTS Rooftop Sumatera Prima Fibreboard",317.509260,0.675927,644.750000,,148.827928
"PLTS Rooftop Weiss Tech",348.812501,2.916666,715.416667,,0.000000
"PT Gelora Djaja 1 MWp",269.166668,0.597222,284.499999,,0.000000
"PT. MMKI 1.75 MWp - Painting Building",349.739584,0.000000,385.250000,,143.170367
"PT. MMKI 4.292 MWP - Phase 3",343.333482,2.836805,383.916667,,145.416842
"PT. MMKI 5.7 MWp - Phase 2",351.682505,0.168175,382.499999,,144.137936
"PT. Pusan Manis Mulia 2.06 MWp - Tangerang",346.738096,0.119048,368.916668,,116.787259
"Samator Ame Krian 6,82 kWp",0.000000,0.000000,703.916667,,0.000000
"Samator Bali",0.000000,0.000000,196.666667,,0.000000
"Samator Gas Industri Malang 6,82 kWp",0.000000,0.000000,716.333334,,0.000000
"Samator Gas Industri Sidoarjo 6,82 kWP",0.000000,0.000000,713.916667,,0.000000
"Samator Gas Industri Solo 6,82 kWp",0.000000,0.000000,690.666667,,0.000000
"Samator Indo Gas Semarang 9,92 kWp",0.000000,0.000000,286.166665,,0.000000
"Shoetown Ligung Indonesia",354.004630,0.351852,720.000000,,149.773313
