Unnamed: 0,Sites,Inverter No,MPPT No,String No,Module Qty,Orient Code,Azimuth,Tilt,Coordinate (x),Coordinate (y),Area,Row,Cable Length,Cable Size
,MMKI 1,1,1,1,27.0,1.0,,,,,,,,
,MMKI 1,1,1,2,27.0,1.0,,,,,,,,
,MMKI 1,1,2,3,27.0,1.0,,,,,,,,
,MMKI 1,1,2,4,27.0,1.0,,,,,,,,
,MMKI 1,1,3,5,27.0,1.0,,,,,,,,
,MMKI 1,1,3,6,27.0,1.0,,,,,,,,
,MMKI 1,1,4,7,27.0,2.0,,,,,,,,
,MMKI 1,1,4,8,27.0,2.0,,,,,,,,
,MMKI 1,1,5,9,27.0,2.0,,,,,,,,
,MMKI 1,1,5,10,27.0,2.0,,,,,,,,
,MMKI 1,1,6,11,27.0,2.0,,,,,,,,
,MMKI 1,1,6,12,27.0,2.0,,,,,,,,
,MMKI 1,1,7,13,27.0,2.0,,,,,,,,
,MMKI 1,1,7,14,0.0,2.0,,,,,,,,
,MMKI 1,1,8,15,27.0,2.0,,,,,,,,
,MMKI 1,1,8,16,0.0,2.0,,,,,,,,
,MMKI 1,1,9,17,21.0,2.0,,,,,,,,
,MMKI 1,1,9,18,0.0,2.0,,,,,,,,
,MMKI 1,2,1,1,27.0,2.0,,,,,,,,
,MMKI 1,2,1,2,27.0,2.0,,,,,,,,
,MMKI 1,2,2,3,27.0,2.0,,,,,,,,
,MMKI 1,2,2,4,27.0,2.0,,,,,,,,
,MMKI 1,2,3,5,27.0,2.0,,,,,,,,
,MMKI 1,2,3,6,27.0,2.0,,,,,,,,
,MMKI 1,2,4,7,27.0,2.0,,,,,,,,
,MMKI 1,2,4,8,27.0,2.0,,,,,,,,
,MMKI 1,2,5,9,27.0,2.0,,,,,,,,
,MMKI 1,2,5,10,27.0,2.0,,,,,,,,
,MMKI 1,2,6,11,27.0,2.0,,,,,,,,
,MMKI 1,2,6,12,27.0,2.0,,,,,,,,
,MMKI 1,2,7,13,27.0,2.0,,,,,,,,
,MMKI 1,2,7,14,0.0,2.0,,,,,,,,
,MMKI 1,2,8,15,24.0,2.0,,,,,,,,
,MMKI 1,2,8,16,0.0,2.0,,,,,,,,
,MMKI 1,2,9,17,24.0,2.0,,,,,,,,
,MMKI 1,2,9,18,0.0,2.0,,,,,,,,
,MMKI 1,3,1,1,27.0,2.0,,,,,,,,
,MMKI 1,3,1,2,27.0,2.0,,,,,,,,
,MMKI 1,3,2,3,27.0,2.0,,,,,,,,
,MMKI 1,3,2,4,27.0,2.0,,,,,,,,
,MMKI 1,3,3,5,27.0,2.0,,,,,,,,
,MMKI 1,3,3,6,27.0,2.0,,,,,,,,
,MMKI 1,3,4,7,27.0,2.0,,,,,,,,
,MMKI 1,3,4,8,27.0,2.0,,,,,,,,
,MMKI 1,3,5,9,27.0,2.0,,,,,,,,
,MMKI 1,3,5,10,27.0,2.0,,,,,,,,
,MMKI 1,3,6,11,27.0,2.0,,,,,,,,
,MMKI 1,3,6,12,0.0,2.0,,,,,,,,
,MMKI 1,3,7,13,27.0,2.0,,,,,,,,
,MMKI 1,3,7,14,0.0,2.0,,,,,,,,
,MMKI 1,3,8,15,27.0,2.0,,,,,,,,
,MMKI 1,3,8,16,0.0,2.0,,,,,,,,
,MMKI 1,3,9,17,27.0,2.0,,,,,,,,
,MMKI 1,3,9,18,0.0,2.0,,,,,,,,
,MMKI 1,4,1,1,27.0,2.0,,,,,,,,
,MMKI 1,4,1,2,27.0,2.0,,,,,,,,
,MMKI 1,4,2,3,27.0,2.0,,,,,,,,
,MMKI 1,4,2,4,27.0,2.0,,,,,,,,
,MMKI 1,4,3,5,27.0,2.0,,,,,,,,
,MMKI 1,4,3,6,27.0,2.0,,,,,,,,
,MMKI 1,4,4,7,27.0,2.0,,,,,,,,
,MMKI 1,4,4,8,27.0,2.0,,,,,,,,
,MMKI 1,4,5,9,27.0,2.0,,,,,,,,
,MMKI 1,4,5,10,27.0,2.0,,,,,,,,
,MMKI 1,4,6,11,27.0,2.0,,,,,,,,
,MMKI 1,4,6,12,27.0,2.0,,,,,,,,
,MMKI 1,4,7,13,27.0,2.0,,,,,,,,
,MMKI 1,4,7,14,0.0,2.0,,,,,,,,
