"schemaname","tablename","rowcountestimate","datasize_readable","datasizebytes","indexsize_readable","indexsizebytes","totalsize_readable","totalsizebytes","avgrowlengthbytes"
public,mart_inverter_performance_5min,433277857,"43 GB",46575648768,"8875 MB",9306603520,"52 GB",55895162880,107.50
public,mart_string_performance_5min,332823401,"39 GB",42096132096,"6829 MB",7161208832,"46 GB",49269006336,126.48
public,stg_fusionsolar__perf_unpivoted,328988295,"38 GB",40343961600,"0 bytes",0,"38 GB",40355143680,122.63
public,stg_isolarcloud__perf_unpivoted,177900166,"22 GB",23637000192,"0 bytes",0,"22 GB",23643570176,132.87
public,mart_meter_performance_5min,57407544,"9686 MB",10155982848,"993 MB",1041235968,"10 GB",11200053248,176.91
public,int_meters_unified,55173815,"6979 MB",7317487616,"0 bytes",0,"6980 MB",7319543808,132.63
public,mart_sensor_measurements_5min,21745812,"3637 MB",3813146624,"559 MB",586129408,"4197 MB",4400365568,175.35
public,int_sensors_unified,21755509,"2769 MB",2903506944,"0 bytes",0,"2770 MB",2904342528,133.46
public,mart_string_performance_daily,602967,"98 MB",102760448,"8640 kB",8847360,"107 MB",111673344,170.42
public,mart_inverter_performance_daily,604479,"94 MB",98566144,"8784 kB",8994816,"103 MB",107618304,163.06
public,mart_simulation_targets_daily,3286,"744 kB",761856,"208 kB",212992,"992 kB",1015808,231.85
public,seed_daily_simulation_target,3286,"520 kB",532480,"0 bytes",0,"560 kB",573440,162.05
public,dim_date_generated,2857,"512 kB",524288,"0 bytes",0,"552 kB",565248,183.51
public,dim_assets,431,"128 kB",131072,"0 bytes",0,"136 kB",139264,304.11
public,isolarcloud_devices,232,"40 kB",40960,"16 kB",16384,"88 kB",90112,176.55
public,fusionsolar_devices,182,"32 kB",32768,"16 kB",16384,"80 kB",81920,180.04
public,seed_metric_mapper,208,"24 kB",24576,"0 bytes",0,"56 kB",57344,118.15
public,seed_sensor_config,117,"16 kB",16384,"0 bytes",0,"48 kB",49152,140.03
public,seed_meter_config,128,"16 kB",16384,"0 bytes",0,"48 kB",49152,128.00
public,isolarcloud_power_stations,9,"8192 bytes",8192,"16 kB",16384,"32 kB",32768,910.22
public,fusionsolar_plants,8,"8192 bytes",8192,"16 kB",16384,"32 kB",32768,1024.00
public,mart_site_performance_daily,0,"0 bytes",0,"24 kB",24576,"32 kB",32768,0
public,fusionsolar_etl_status,11,"8192 bytes",8192,"16 kB",16384,"32 kB",32768,744.73
public,isolarcloud_historical_data,0,"0 bytes",0,"16 kB",16384,"24 kB",24576,0
public,fusionsolar_historical_data,0,"0 bytes",0,"16 kB",16384,"24 kB",24576,0
public,fusionsolar_api_quota_config,0,"0 bytes",0,"16 kB",16384,"16 kB",16384,0
public,fusionsolar_api_quota_usage,0,"0 bytes",0,"16 kB",16384,"16 kB",16384,0
public,fusionsolar_api_request_queue,0,"0 bytes",0,"8192 bytes",8192,"16 kB",16384,0
