asset_type;asset_id;site_id;site_name;cleaning_date;notes;is_active
module;ISO_SITE_1680199;1680199;PLTS Rooftop Sumatera Prima Fibreboard;;;
module;ISO_SITE_1637816;1637816;Charoen Pokphand Madiun;2025-08-20;;
module;ISO_SITE_1637095;1637095;Charoen Pokphand Bandung;2025-08-20;;
module;ISO_SITE_1628909;1628909;PLTS Frina Lestari Nusantara;2025-11-26;;
module;ISO_SITE_1614122;1614122;Charoen Pokphand Majalengka;2025-08-10;;
module;ISO_SITE_1479456;1479456;Shoetown Ligung Indonesia;2025-11-28;;
module;ISO_SITE_1458125;1458125;Garuda Metalindo 1;2025-10-20;;
module;ISO_SITE_1453245;1453245;Garuda Metalindo 2;2025-10-16;;
module;ISO_SITE_1449886;1449886;Garuda Metalindo (MPF);2025-10-15;;
module;ISO_SITE_1445767;1445767;Garuda Metalindo (IKP);2025-10-24;;
module;FS_SITE_NE=54435794;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;2025-11-16;;
module;FS_SITE_NE=58630782;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;2025-10-17;;
module;FS_SITE_NE=62806354;NE=62806354;PLTS ONGRID PT SUPARMA TBK;;;
module;FS_SITE_NE=51758766;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;2025-10-02;;
module;FS_SITE_NE=53771627;NE=53771627;PLTS Mall Panakkukang;2025-11-14;;
module;FS_SITE_NE=61847068;NE=61847068;PT Gelora Djaja 1 MWp;;;
module;FS_SITE_NE=50488260;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;2025-11-06;;
sensor;ISO_SITE_1680199;1680199;PLTS Rooftop Sumatera Prima Fibreboard;;;
sensor;ISO_SITE_1637816;1637816;Charoen Pokphand Madiun;2025-11-27;;
sensor;ISO_SITE_1637095;1637095;Charoen Pokphand Bandung;2025-08-20;;
sensor;ISO_SITE_1628909;1628909;PLTS Frina Lestari Nusantara;2025-11-17;;
sensor;ISO_SITE_1614122;1614122;Charoen Pokphand Majalengka;2025-11-27;;
sensor;ISO_SITE_1479456;1479456;Shoetown Ligung Indonesia;2025-11-27;;
sensor;ISO_SITE_1458125;1458125;Garuda Metalindo 1;2025-10-20;;
sensor;ISO_SITE_1453245;1453245;Garuda Metalindo 2;2025-10-16;;
sensor;ISO_SITE_1449886;1449886;Garuda Metalindo (MPF);2025-12-11;;
sensor;ISO_SITE_1445767;1445767;Garuda Metalindo (IKP);2025-10-24;;
sensor;FS_SITE_NE=54435794;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;2025-11-26;;
sensor;FS_SITE_NE=58630782;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;;;
sensor;FS_SITE_NE=62806354;NE=62806354;PLTS ONGRID PT SUPARMA TBK;;;
sensor;FS_SITE_NE=51758766;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;;;
sensor;FS_SITE_NE=53771627;NE=53771627;PLTS Mall Panakkukang;2025-11-19;;
sensor;FS_SITE_NE=61847068;NE=61847068;PT Gelora Djaja 1 MWp;;;
sensor;FS_SITE_NE=50488260;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;2025-11-26;;
