site_Name,site_id,Year,Month,Month_Number,Energy_KPI_MWh
Charoen Pokphand Bandung,ISO_SITE_1637095,2024,August,8,195.02
Charoen Pokphand Bandung,ISO_SITE_1637095,2024,September,9,194.34
Charoen Pokphand Bandung,ISO_SITE_1637095,2024,October,10,213.61
Charoen Pokphand Bandung,ISO_SITE_1637095,2024,November,11,176.69
Charoen Pokphand Bandung,ISO_SITE_1637095,2024,December,12,177.71
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,January,1,170.73
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,February,2,175.22
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,March,3,185.77
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,April,4,182.82
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,May,5,185.87
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,June,6,181.15
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,July,7,186.87
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,August,8,96.567
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,September,9,190.201
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,October,10,209.696
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,November,11,170.54
Charoen Pokphand Bandung,ISO_SITE_1637095,2025,December,12,173.504
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,January,1,165.43
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,February,2,170.47
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,March,3,176.88
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,April,4,164.99
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,May,5,180.39
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,June,6,175.93
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,July,7,181.56
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,August,8,189.88
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,September,9,189
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,October,10,208.38
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,November,11,169.47
Charoen Pokphand Bandung,ISO_SITE_1637095,2026,December,12,172.41
Charoen Pokphand Madiun,ISO_SITE_1637816,2024,August,8,143.78
Charoen Pokphand Madiun,ISO_SITE_1637816,2024,September,9,148.07
Charoen Pokphand Madiun,ISO_SITE_1637816,2024,October,10,146.52
Charoen Pokphand Madiun,ISO_SITE_1637816,2024,November,11,122.47
Charoen Pokphand Madiun,ISO_SITE_1637816,2024,December,12,119.56
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,January,1,116.54
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,February,2,105.36
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,March,3,126.36
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,April,4,122.23
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,May,5,124.13
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,June,6,117.46
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,July,7,127.47
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,August,8,71.348
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,September,9,145.285
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,October,10,143.842
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,November,11,120.5
Charoen Pokphand Madiun,ISO_SITE_1637816,2025,December,12,117.738
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,January,1,114.16
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,February,2,103.20
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,March,3,117.70
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,April,4,114.64
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,May,5,113.53
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,June,6,114.98
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,July,7,124.66
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,August,8,140.37
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,September,9,144.44
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,October,10,143.01
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,November,11,119.80
Charoen Pokphand Madiun,ISO_SITE_1637816,2026,December,12,117.06
Charoen Pokphand Majalengka,ISO_SITE_1614122,2024,August,8,127.80
Charoen Pokphand Majalengka,ISO_SITE_1614122,2024,September,9,127.34
Charoen Pokphand Majalengka,ISO_SITE_1614122,2024,October,10,138.43
Charoen Pokphand Majalengka,ISO_SITE_1614122,2024,November,11,121.69
Charoen Pokphand Majalengka,ISO_SITE_1614122,2024,December,12,120.82
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,January,1,112.90
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,February,2,112.81
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,March,3,124.18
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,April,4,119.31
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,May,5,119.36
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,June,6,116.33
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,July,7,122.03
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,August,8,62.501
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,September,9,123.209
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,October,10,125.965
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,November,11,117.789
Charoen Pokphand Majalengka,ISO_SITE_1614122,2025,December,12,116.917
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,January,1,108.66
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,February,2,108.52
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,March,3,116.34
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,April,4,114.79
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,May,5,114.80
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,June,6,107.61
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,July,7,117.43
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,August,8,122.96
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,September,9,122.50
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,October,10,125.23
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,November,11,117.11
Charoen Pokphand Majalengka,ISO_SITE_1614122,2026,December,12,116.24
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,January,1,35.74
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,February,2,36.78
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,March,3,40.98
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,April,4,39.37
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,May,5,39.74
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,June,6,38.58
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,July,7,40.58
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,August,8,42.21
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,September,9,42.20
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,October,10,46.56
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,November,11,38.73
Garuda Metalindo (IKP),ISO_SITE_1445767,2024,December,12,37.95
Garuda Metalindo (IKP),ISO_SITE_1445767,2025,January,1,35.384
Garuda Metalindo (IKP),ISO_SITE_1445767,2025,February,2,36.415
Garuda Metalindo (IKP),ISO_SITE_1445767,2025,March,3,40.572
Garuda Metalindo (IKP),ISO_SITE_1445767,2025,April,4,38.978
Garuda Metalindo (IKP),ISO_SITE_1445767,2025,May,5,36.283
Garuda Metalindo (IKP),ISO_SITE_1445767,2025,June,6,38.2
