Site_Name;Site_Code;Week;Month;Date;GHI;POA;Energy Simulation (MW);Energy Target (MW);Daily PR POA Simulation;Daily PR POA Target;GHI vs POA;Daily PR GHI Simulation;Daily PR GHI Target
Garuda Metalindo (IKP);1445767;W1;January;01/01/2024;5.52;5.46;1.460587387;1.460587387;0.816939525;0.816939525;0.06;0.808059747;0.808059747
Garuda Metalindo (IKP);1445767;W1;January;02/01/2024;2.84;2.81;0.767666953;0.767666953;0.83429863;0.83429863;0.03;0.825485617;0.825485617
Garuda Metalindo (IKP);1445767;W1;January;03/01/2024;6.15;6.1;1.630282187;1.630282187;0.816183768;0.816183768;0.05;0.809548128;0.809548128
Garuda Metalindo (IKP);1445767;W1;January;04/01/2024;7.44;7.39;1.942399409;1.942399409;0.802692313;0.802692313;0.05;0.797297876;0.797297876
Garuda Metalindo (IKP);1445767;W1;January;05/01/2024;2.57;2.54;0.690900258;0.690900258;0.830685526;0.830685526;0.03;0.820988808;0.820988808
Garuda Metalindo (IKP);1445767;W2;January;06/01/2024;5.88;5.84;1.58078787;1.58078787;0.826638737;0.826638737;0.04;0.821015344;0.821015344
Garuda Metalindo (IKP);1445767;W2;January;07/01/2024;4.76;4.72;1.280791706;1.280791706;0.828688884;0.828688884;0.04;0.821725112;0.821725112
Garuda Metalindo (IKP);1445767;W2;January;08/01/2024;2.96;2.92;0.802009948;0.802009948;0.838787422;0.838787422;0.04;0.827452456;0.827452456
Garuda Metalindo (IKP);1445767;W2;January;09/01/2024;3.44;3.4;0.932311313;0.932311313;0.837407878;0.837407878;0.04;0.827670577;0.827670577
Garuda Metalindo (IKP);1445767;W2;January;10/01/2024;4.43;4.38;1.20402501;1.20402501;0.839491693;0.839491693;0.05;0.830016618;0.830016618
Garuda Metalindo (IKP);1445767;W2;January;11/01/2024;6.5;6.46;1.736341437;1.736341437;0.820838309;0.820838309;0.04;0.815786996;0.815786996
Garuda Metalindo (IKP);1445767;W2;January;12/01/2024;7.33;7.28;1.940379232;1.940379232;0.813973458;0.813973458;0.05;0.808421115;0.808421115
