site_name;date_key;energy_adjusted_value;notes
PT. MMKI 5.7 MWp - Phase 2;2025-02-11;14.385;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-12;21.698;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-13;27.108;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-14;18.972;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-15;15.469;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-16;14.720;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-17;12.873;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-18;15.719;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-19;18.590;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-20;22.327;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-21;24.815;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-22;14.865;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-23;13.466;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-24;15.814;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-02-25;20.847;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
PT. MMKI 5.7 MWp - Phase 2;2025-03-12;18.552;Meter Assembly mati, dikalkulasi menggunakan rasio terhadap nilai GHI hariannya
