site_name;date_key;ghi_adjusted_value;notes
Shoetown Ligung Indonesia;2025-03-02;5.412;GHI sensor mati
Shoetown Ligung Indonesia;2025-03-03;2.412;GHI sensor mati
Shoetown Ligung Indonesia;2025-03-04;3.667;GHI sensor mati
Shoetown Ligung Indonesia;2025-03-05;5.578;GHI sensor mati
Shoetown Ligung Indonesia;2025-03-06;6.465;GHI sensor mati
Charoen Pokphand Madiun;2026-05-07;6.002162;GHI fixed for 7 May 2026 using POA proxy
Charoen Pokphand Majalengka;2026-04-01;5.896283;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-02;4.293422;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-03;6.771158;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-04;5.287013;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-05;6.749486;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-06;5.867029;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-07;6.295826;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-08;3.751577;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-09;4.861597;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-10;5.222703;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-11;5.510408;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-12;6.100380;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-13;5.657044;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-14;4.494090;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-15;4.036538;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-16;6.010344;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-17;5.770333;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-19;5.857367;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-20;6.051526;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-21;5.755870;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-22;2.808371;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-23;5.352094;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-24;4.011241;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-25;5.829036;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-26;5.614058;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-27;4.726328;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-28;3.401244;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-29;5.592510;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-04-30;5.418040;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-05-01;5.479699;Use POA as GHI adjusted from April 2026 onward
Charoen Pokphand Majalengka;2026-05-02;3.938286;Use POA as GHI adjusted from April 2026 onward
