source;site_id;site_name;inverter_no;inverter_sn;inverter_id;inverter_name;inverter_ac_capacity_kw;inverter_model;inverter_manufacturer;inverter_dc_capacity_kw;mppt_count;is_active;valid_from;valid_to;notes
dim_assets_auto;1445767;Garuda Metalindo (IKP);1;1445767_1_1_1;1445767_1_1_1;;;;;;;True;;;
dim_assets_auto;1445767;Garuda Metalindo (IKP);2;1445767_1_3_1;1445767_1_3_1;;;;;;;True;;;
dim_assets_auto;1445767;Garuda Metalindo (IKP);3;1445767_1_2_1;1445767_1_2_1;;;;;;;True;;;
dim_assets_auto;1449886;Garuda Metalindo (MPF);1;1449886_1_3_1;1449886_1_3_1;;;;;;;True;;;
dim_assets_auto;1449886;Garuda Metalindo (MPF);2;1449886_1_1_1;1449886_1_1_1;;;;;;;True;;;
dim_assets_auto;1449886;Garuda Metalindo (MPF);3;1449886_1_2_1;1449886_1_2_1;;;;;;;True;;;
dim_assets_auto;1453245;Garuda Metalindo 2;1;1453245_1_6_1;1453245_1_6_1;;;;;;;True;;;
dim_assets_auto;1453245;Garuda Metalindo 2;2;1453245_1_5_1;1453245_1_5_1;;;;;;;True;;;
dim_assets_auto;1453245;Garuda Metalindo 2;3;1453245_1_4_1;1453245_1_4_1;;;;;;;True;;;
dim_assets_auto;1453245;Garuda Metalindo 2;4;1453245_1_3_1;1453245_1_3_1;;;;;;;True;;;
dim_assets_auto;1453245;Garuda Metalindo 2;5;1453245_1_1_1;1453245_1_1_1;;;;;;;True;;;
dim_assets_auto;1453245;Garuda Metalindo 2;6;1453245_1_2_1;1453245_1_2_1;;;;;;;True;;;
dim_assets_auto;1458125;Garuda Metalindo 1;1;1458125_1_6_1;1458125_1_6_1;;;;;;;True;;;
dim_assets_auto;1458125;Garuda Metalindo 1;2;1458125_1_29_1;1458125_1_29_1;;;;;;;True;;;
dim_assets_auto;1458125;Garuda Metalindo 1;3;1458125_1_5_1;1458125_1_5_1;;;;;;;True;;;
dim_assets_auto;1458125;Garuda Metalindo 1;4;1458125_1_32_1;1458125_1_32_1;;;;;;;True;;;
dim_assets_auto;1458125;Garuda Metalindo 1;5;1458125_1_30_1;1458125_1_30_1;;;;;;;True;;;
dim_assets_auto;1458125;Garuda Metalindo 1;6;1458125_1_3_1;1458125_1_3_1;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;1;1479456_1_5_2;1479456_1_5_2;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;2;1479456_1_1_2;1479456_1_1_2;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;3;1479456_1_2_2;1479456_1_2_2;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;4;1479456_1_3_2;1479456_1_3_2;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;5;1479456_1_4_2;1479456_1_4_2;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;6;1479456_1_8_2;1479456_1_8_2;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;7;1479456_1_10_1;1479456_1_10_1;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;8;1479456_1_12_1;1479456_1_12_1;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;9;1479456_1_6_1;1479456_1_6_1;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;10;1479456_1_9_1;1479456_1_9_1;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;11;1479456_1_11_1;1479456_1_11_1;;;;;;;True;;;
dim_assets_auto;1479456;Shoetown Ligung Indonesia;12;1479456_1_15_1;1479456_1_15_1;;;;;;;True;;;
dim_assets_auto;1614122;Charoen Pokphand Majalengka;1;1614122_1_1_1;1614122_1_1_1;;;;;;;True;;;
dim_assets_auto;1614122;Charoen Pokphand Majalengka;2;1614122_1_2_1;1614122_1_2_1;;;;;;;True;;;
dim_assets_auto;1614122;Charoen Pokphand Majalengka;3;1614122_1_4_1;1614122_1_4_1;;;;;;;True;;;
dim_assets_auto;1614122;Charoen Pokphand Majalengka;4;1614122_1_5_1;1614122_1_5_1;;;;;;;True;;;
dim_assets_auto;1614122;Charoen Pokphand Majalengka;5;1614122_1_6_1;1614122_1_6_1;;;;;;;True;;;
dim_assets_auto;1614122;Charoen Pokphand Majalengka;6;1614122_1_7_1;1614122_1_7_1;;;;;;;True;;;
dim_assets_auto;1614122;Charoen Pokphand Majalengka;7;1614122_1_3_1;1614122_1_3_1;;;;;;;True;;;
dim_assets_auto;1628909;PLTS Frina Lestari Nusantara;1;1628909_1_1_1;1628909_1_1_1;;;;;;;True;;;
iSolarCloud;1628909;PLTS Frina Lestari Nusantara;1;A2511716323;1628909_1_1_1;;;;;;;True;;;
dim_assets_auto;1628909;PLTS Frina Lestari Nusantara;2;1628909_1_2_1;1628909_1_2_1;;;;;;;True;;;
iSolarCloud;1628909;PLTS Frina Lestari Nusantara;2;A2511120009;1628909_1_2_1;;;;;;;True;;;
dim_assets_auto;1628909;PLTS Frina Lestari Nusantara;3;1628909_1_3_1;1628909_1_3_1;;;;;;;True;;;
iSolarCloud;1628909;PLTS Frina Lestari Nusantara;3;A2511120038;1628909_1_3_1;;;;;;;True;;;
dim_assets_auto;1628909;PLTS Frina Lestari Nusantara;4;1628909_1_4_1;1628909_1_4_1;;;;;;;True;;;
iSolarCloud;1628909;PLTS Frina Lestari Nusantara;4;A2511120157;1628909_1_4_1;;;;;;;True;;;
iSolarCloud;1628909;PLTS Frina Lestari Nusantara;5;A2510700171;;;;;;;;True;;;
iSolarCloud;1628909;PLTS Frina Lestari Nusantara;6;A2510700142;;;;;;;;True;;;
iSolarCloud;1628909;PLTS Frina Lestari Nusantara;7;A2511120226;;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;1;1637095_1_5_1;1637095_1_5_1;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;2;1637095_1_6_1;1637095_1_6_1;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;3;1637095_1_4_1;1637095_1_4_1;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;4;1637095_1_8_1;1637095_1_8_1;;;;;;;True;;;
