manufacturer,model,year,p_nom_kw,p_max_kw,v_ac,vmpp_min,vmpp_max,vmpp_nom,vdc_max,eff_max,eff_euro,i_dc_max,i_ac_nom,i_ac_max,mppt_count,input_count,weight,night_loss_w,dc_switch,ac_switch,isol_survey,ens_protection,disc_adjust,transfo,grid_type,tanphi_min,tanphi_max,p1_in,p1_out,p2_in,p2_out,p3_in,p3_out,p4_in,p4_out,p5_in,p5_out,p6_in,p6_out,p7_in,p7_out,p8_in,p8_out
Huawei,SUN2000-150K-MG0-380V,2024,150,165,380,200,1000,600,1100,98.8,98.6,336,227.9,253.2,7,21,99,5.0,Yes,No,Yes,Yes,Yes,Without,ThreePhase,-0.75,0.75,743,0,4500.0,4283,7500.0,7253,15000.0,14677,30000.0,29526,45000.0,44374,90000,88920,150000.0,148200
Huawei,SUN2000-215KTL-H0,2020,200,215,800,500,1500,1080,1500,99.0,0.0,270,144.4,155.0,9,18,86,3.3,Yes,No,Yes,Yes,Yes,Without,ThreePhase,-0.75,0.75,180,0,20493.9,20000,50859.5,50000,101626.0,100000,152640.7,150000,203977.6,200000,,,,
Huawei,SUN2000-330KTL-H1,2022,300,330,800,500,1500,1080,1500,97.0,95.0,390,216.6,238.2,6,28,112,4.8,Yes,No,Yes,Yes,Yes,Without,ThreePhase,-0.75,0.75,200,0,15524.7,15000,30737.7,30000,61143.4,60000,91398.4,90000,152222.4,150000,228705,225000,305343.5,300000
Sungrow,SG125CX-P2,2022,125,125,400,180,1000,600,1100,97.0,95.0,,181.0,181.1,12,24,87,4.0,Yes,No,Yes,Yes,,Without,ThreePhase,-0.75,0.75,60,0,90.0,41,150.0,103,300.0,257,600.0,562,900.0,863,1800,1746,3000.0,2872
Huawei,SUN2000-100KTL-M2,2022,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sungrow,SG110CX,2022,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,SUN2000-115KTL-M2,2022,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,SUN2000-150K-MG0,2024,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sungrow,SG150CX,2022,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sungrow,SG50CX-P2,2022,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
