source;site_id;site_name;inverter_id;inverter_name;inverter_no;mppt_no;string_no;module_qty;orient_code;is_active;commission_date;decommission_date;notes
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;1;1;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;1;2;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;2;3;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;2;4;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;3;5;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;3;6;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;4;7;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;4;8;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;5;9;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;5;10;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;6;11;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;6;12;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;7;13;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;7;14;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;8;15;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;8;16;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;9;17;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;9;18;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;10;19;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;10;20;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;11;21;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;11;22;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;12;23;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;1;12;24;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;1;1;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;1;2;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;2;3;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;2;4;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;3;5;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;3;6;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;4;7;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;4;8;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;5;9;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;5;10;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;6;11;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;6;12;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;7;13;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;7;14;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;8;15;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
