site_id,site_name,issue_date,is_active
ISO_SITE_1637095,Charoen Pokphand Bandung,2025-09-03,TRUE
ISO_SITE_1637095,Charoen Pokphand Bandung,2025-08-25,TRUE
ISO_SITE_1637095,Charoen Pokphand Bandung,2025-08-26,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-10-09,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-10-19,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-10-28,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-09-01,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-09-02,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-09-03,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-09-04,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-09-05,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-09-24,TRUE
ISO_SITE_1637816,Charoen Pokphand Madiun,2025-09-28,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-10-01,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-10-02,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-09-08,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-08-05,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-08-06,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-08-07,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-08-08,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-08-09,TRUE
ISO_SITE_1614122,Charoen Pokphand Majalengka,2025-08-10,TRUE
ISO_SITE_1445767,Garuda Metalindo (IKP),2025-10-03,TRUE
ISO_SITE_1445767,Garuda Metalindo (IKP),2025-09-27,TRUE
ISO_SITE_1445767,Garuda Metalindo (IKP),2025-09-28,TRUE
ISO_SITE_1445767,Garuda Metalindo (IKP),2025-08-27,TRUE
ISO_SITE_1445767,Garuda Metalindo (IKP),2025-08-28,TRUE
ISO_SITE_1458125,Garuda Metalindo 1,2025-11-09,TRUE
ISO_SITE_1458125,Garuda Metalindo 1,2025-11-10,TRUE
ISO_SITE_1458125,Garuda Metalindo 1,2025-11-11,TRUE
ISO_SITE_1458125,Garuda Metalindo 1,2025-11-12,TRUE
ISO_SITE_1458125,Garuda Metalindo 1,2025-11-13,TRUE
ISO_SITE_1458125,Garuda Metalindo 1,2025-09-10,TRUE
ISO_SITE_1458125,Garuda Metalindo 1,2025-08-24,TRUE
ISO_SITE_1458125,Garuda Metalindo 1,2025-07-24,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-11-04,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-01,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-02,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-03,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-04,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-05,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-06,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-07,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-08,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-09,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-10,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-14,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-15,TRUE
ISO_SITE_1628909,PLTS Frina Lestari Nusantara,2025-08-25,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-11-09,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-10-12,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-10-13,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-08,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-09,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-10,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-11,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-12,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-13,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-14,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-15,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-16,TRUE
FS_SITE_NE=53771627,PLTS Mall Panakkukang,2025-06-17,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-02,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-05,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-08,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-09,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-11,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-17,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-22,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-23,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-24,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-25,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-26,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-27,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-30,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-10-31,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-09-08,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-09-09,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-08-10,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-07-15,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-06-27,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-11-03,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-11-04,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-11-10,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-11-11,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-11-12,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-11-15,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-11-16,TRUE
FS_SITE_NE=50488260,PT. MMKI 1.75 MWp - Painting Building,2025-11-17,TRUE
