source;esn_code;voltage_level;meter_type;polarity_swapped;phase_a_swapped;phase_c_swapped
FusionSolar;AM02102287046729;LV;;;;
FusionSolar;AM00102287046729;MV;Revenue;;;
FusionSolar;AM011023B7436516;MV;Revenue;;;
FusionSolar;AM001023B7436516;LV;;;;
FusionSolar;AM021023B7436516;MV;;;;
FusionSolar;AM031023B7436516;MV;;;;
FusionSolar;AM021023C7355634;LV;;;;
FusionSolar;AM001023C7355634;MV;Revenue;True;;
FusionSolar;AM011023C7355634;MV;;;;
FusionSolar;AM031023A5160368;LV;;;;
FusionSolar;AM001023A5160368;MV;;;;
FusionSolar;AM011023A5160368;MV;Revenue;;;
FusionSolar;AM021023A5160368;LV;;;;
FusionSolar;AM01102467487012;;Revenue;;;
FusionSolar;AM01102459944283;;Revenue;;;
FusionSolar;AM011024B6566722;MV;;;;
FusionSolar;AM001024B6566722;LV;;;;
FusionSolar;AM021024B6566722;MV;Revenue;;;
FusionSolar;AM031024B6566722;LV;;;;
FusionSolar;AM031024B6566719;LV;;;;
FusionSolar;AM021024B6566719;MV;Revenue;;;
FusionSolar;AM001024B6566719;MV;;;;
FusionSolar;AM011024B6566719;LV;;;;
FusionSolar;AM03102527099805;MV;Revenue;;;
FusionSolar;AM02102527099822;MV;Revenue;;;
iSolarCloud;1445767_7_12_1;;Revenue;;;
iSolarCloud;1449886_7_7_1;;Revenue;;;
iSolarCloud;1453245_7_7_1;;Revenue;;;
iSolarCloud;1458125_7_7_1;;Revenue;;;
iSolarCloud;1479456_7_12_2;;Revenue;;;
iSolarCloud;1479456_7_3_1;;Revenue;;;
iSolarCloud;1614122_7_18_1;;Revenue;;;
iSolarCloud;1628909_7_5_1;;Revenue;;;
iSolarCloud;1628909_7_4_2;;Revenue;;;
iSolarCloud;1637095_7_15_1;;Revenue;;;
iSolarCloud;1637816_7_16_1;;Revenue;;;
iSolarCloud;1637816_7_15_1;;Revenue;;;
iSolarCloud;1680199_7_18_1;;Revenue;;;
iSolarCloud;1680199_7_13_2;;Revenue;;;
iSolarCloud;1680199_7_14_1;;Revenue;;;
FusionSolar;AM00102555606343;;Revenue;;;True
FusionSolar;AM01102555606343;;Revenue;;;
FusionSolar;AM02102555606343;;Revenue;;;
FusionSolar;AM03102555606343;;Revenue;;;
iSolarCloud;1789614_7_7_1;;Revenue;;;
iSolarCloud;1763661_7_22_1;;Revenue;;;
