mapping_type;device_id;logical_device_id;logical_device_name;effective_date_start;effective_date_end;notes
ID_CONSOLIDATION;"1680199_7_18_1";"1680199_7_14_1";"Meter-kWh-01(new)";2025-10-11;;"PLTS Rooftop Sumatera Prima Fibreboard - Old Meter-kWh-01 (ID 1680199_7_18_1) digantikan oleh Meter-kWh-01(new) (ID 1680199_7_14_1) mulai tanggal 11"
ID_CONSOLIDATION;"1680199_7_19_1";"1680199_7_15_1";"Meter-COMM-01(new)";2025-10-11;;"PLTS Rooftop Sumatera Prima Fibreboard - Old Meter-COMM-01 (ID 1680199_7_19_1) digantikan oleh Meter-COMM-01(new) (ID 1680199_7_15_1) mulai tanggal 11"
ID_CONSOLIDATION;"1680199_7_20_1";"1680199_7_16_1";"Meter-PQM-01(new)";2025-10-11;;"PLTS Rooftop Sumatera Prima Fibreboard - Old Meter-PQM-01 (ID 1680199_7_20_1) digantikan oleh Meter-PQM-01(new) (ID 1680199_7_16_1) mulai tanggal 11"
NAME_OVERRIDE;"1680199_7_14_1";;"Meter-kWh-01(new)";2025-10-11;;"PLTS Rooftop Sumatera Prima Fibreboard - Ensure name consistency for Meter-kWh-01(new)"
NAME_OVERRIDE;"1680199_7_15_1";;"Meter-COMM-01(new)";2025-10-11;;"PLTS Rooftop Sumatera Prima Fibreboard - Ensure name consistency for Meter-COMM-01(new)"
NAME_OVERRIDE;"1680199_7_16_1";;"Meter-PQM-01(new)";2025-10-11;;"PLTS Rooftop Sumatera Prima Fibreboard - Ensure name consistency for Meter-PQM-01(new)"
REVENUE_PERIOD;"1680199_7_18_1";"1680199";;;2025-10-10;"SPF - revenue Meter-kWh-01 lama sampai pergantian 10 Okt 2025"
REVENUE_PERIOD;"1680199_7_14_1";"1680199";;2025-10-11;;"SPF - revenue Meter-kWh-01(new) sejak pergantian 11 Okt 2025"
REVENUE_PERIOD;"1680199_7_13_2";"1680199";;;;"SPF - revenue Meter-kWh-02 (meter export paralel)"
REVENUE_PERIOD;"1730375_7_2_1";"1730375";;2025-12-16;2026-02-28;"Samator Solo - revenue meter lama (MeterSamatorSolo) sampai pergantian"
REVENUE_PERIOD;"1730375_7_4_1";"1730375";;2026-03-01;;"Samator Solo - revenue Meter2 setelah pergantian (grid 2026-03-01)"
REVENUE_PERIOD;"1723575_7_2_1";"1723575";;2025-12-16;2026-03-01;"Samator Semarang - revenue meter lama sampai pergantian"
REVENUE_PERIOD;"1723575_7_4_1";"1723575";;2026-03-02;;"Samator Semarang - revenue Meter2 setelah pergantian (grid 2026-03-02)"
REVENUE_PERIOD;"1731512_7_1_1";"1731512";;2025-12-16;2026-03-06;"Samator Bali - revenue meter lama sampai pergantian"
REVENUE_PERIOD;"1731512_7_3_1";"1731512";;2026-03-07;;"Samator Bali - revenue Meter2 setelah pergantian (grid 2026-03-07)"
REVENUE_PERIOD;"AM0610254C346758";"NE=61847068";;;2026-04-30;"Gelora Djaja - revenue EM-POI sampai 30 Apr 2026"
REVENUE_PERIOD;"AM0110254C346758";"NE=61847068";;2026-05-01;;"Gelora Djaja - revenue EM-MVSWG sejak 1 Mei 2026"
