platform,metric_id,metric_name,device_type,metric_group,metric_unit,used,unified_name
fusionsolar,ab_u,A-B line voltage of grid,1,inverter,V,,
fusionsolar,bc_u,B-C line voltage of grid,1,inverter,V,,
fusionsolar,ca_u,C-A line voltage of grid,1,inverter,V,,
fusionsolar,a_u,Phase A voltage,1,inverter,V,,
fusionsolar,b_u,Phase B voltage,1,inverter,V,,
fusionsolar,c_u,Phase C voltage,1,inverter,V,,
fusionsolar,a_i,Phase A current of grid,1,inverter,A,,
fusionsolar,b_i,Phase B current of grid,1,inverter,A,,
fusionsolar,c_i,Phase C current of grid,1,inverter,A,,
fusionsolar,efficiency,Inverter conversion efficiency (manufacturer),1,inverter,%,,
fusionsolar,temperature,Internal temperature in inverter,1,inverter,°C,,
fusionsolar,power_factor,Power factor,1,inverter,None,yes,inv_power_factor
fusionsolar,elec_freq,Grid frequency,1,inverter,Hz,,
fusionsolar,active_power,Active power,1,inverter,kW,yes,inv_active_power
fusionsolar,reactive_power,Output reactive power,1,inverter,kVar,yes,inv_reactive_power
fusionsolar,day_cap,Energy yield of current day,1,inverter,kWh,yes,inv_yield
fusionsolar,mppt_power,MPPT total input power,1,mppt,kW,,
fusionsolar,pv1_u,PV1 input voltage,1,string,V,yes,string_1_voltage
fusionsolar,pv2_u,PV2 input voltage,1,string,V,yes,string_2_voltage
fusionsolar,pv3_u,PV3 input voltage,1,string,V,yes,string_3_voltage
fusionsolar,pv4_u,PV4 input voltage,1,string,V,yes,string_4_voltage
fusionsolar,pv5_u,PV5 input voltage,1,string,V,yes,string_5_voltage
fusionsolar,pv6_u,PV6 input voltage,1,string,V,yes,string_6_voltage
fusionsolar,pv7_u,PV7 input voltage,1,string,V,yes,string_7_voltage
fusionsolar,pv8_u,PV8 input voltage,1,string,V,yes,string_8_voltage
fusionsolar,pv9_u,PV9 input voltage,1,string,V,yes,string_9_voltage
fusionsolar,pv10_u,PV10 input voltage,1,string,V,yes,string_10_voltage
fusionsolar,pv11_u,PV11 input voltage,1,string,V,yes,string_11_voltage
fusionsolar,pv12_u,PV12 input voltage,1,string,V,yes,string_12_voltage
fusionsolar,pv13_u,PV13 input voltage,1,string,V,yes,string_13_voltage
fusionsolar,pv14_u,PV14 input voltage,1,string,V,yes,string_14_voltage
fusionsolar,pv15_u,PV15 input voltage,1,string,V,yes,string_15_voltage
fusionsolar,pv16_u,PV16 input voltage,1,string,V,yes,string_16_voltage
fusionsolar,pv17_u,PV17 input voltage,1,string,V,yes,string_17_voltage
fusionsolar,pv18_u,PV18 input voltage,1,string,V,yes,string_18_voltage
fusionsolar,pv19_u,PV19 input voltage,1,string,V,yes,string_19_voltage
fusionsolar,pv20_u,PV20 input voltage,1,string,V,yes,string_20_voltage
fusionsolar,pv21_u,PV21 input voltage,1,string,V,yes,string_21_voltage
fusionsolar,pv22_u,PV22 input voltage,1,string,V,yes,string_22_voltage
fusionsolar,pv23_u,PV23 input voltage,1,string,V,yes,string_23_voltage
fusionsolar,pv24_u,PV24 input voltage,1,string,V,yes,string_24_voltage
fusionsolar,pv25_u,PV25 input voltage,1,string,V,yes,string_25_voltage
fusionsolar,pv26_u,PV26 input voltage,1,string,V,yes,string_26_voltage
fusionsolar,pv27_u,PV27 input voltage,1,string,V,yes,string_27_voltage
fusionsolar,pv28_u,PV28 input voltage,1,string,V,yes,string_28_voltage
fusionsolar,pv29_u,PV29 input voltage,1,string,V,,
fusionsolar,pv30_u,PV30 input voltage,1,string,V,,
fusionsolar,pv31_u,PV31 input voltage,1,string,V,,
fusionsolar,pv32_u,PV32 input voltage,1,string,V,,
fusionsolar,pv33_u,PV33 input voltage,1,string,V,,
fusionsolar,pv34_u,PV34 input voltage,1,string,V,,
fusionsolar,pv35_u,PV35 input voltage,1,string,V,,
fusionsolar,pv36_u,PV36 input voltage,1,string,V,,
fusionsolar,pv1_i,PV1 input current,1,string,A,yes,string_1_current
fusionsolar,pv2_i,PV2 input current,1,string,A,yes,string_2_current
