Site_Name,Site_Code,Month,GHI (kWh/m2),POA (kWh/m2),Energy Simulation (MWh),Energy Target (MWh),"Energy KPI (MWh)",Daily PR POA Target,Daily PR GHI Target
Garuda Metalindo 1,1458125,January,108,75,106,89,59,62181919,59,62181919,59,025601,0,784161644,0,797806893
Garuda Metalindo 1,1458125,February,112,28,110,17,61,41892323,61,41892323,60,804734,0,782401064,0,797385781
Garuda Metalindo 1,1458125,March,142,55,139,74,76,92558182,76,92558182,76,156326,0,771850529,0,787371496
Garuda Metalindo 1,1458125,April,147,26,144,07,80,37425657,80,37425657,79,570514,0,780659791,0,797945171
Garuda Metalindo 1,1458125,May,148,73,145,21,71,31238384,81,48332517,70,59926,0,685797684,0,802604991
Garuda Metalindo 1,1458125,June,141,73,138,18,78,0908697,78,0908697,77,309961,0,788076016,0,808322577
Garuda Metalindo 1,1458125,July,147,11,143,52,81,14042424,81,14042424,80,32902,0,788905015,0,808638634
Garuda Metalindo 1,1458125,August,167,12,163,41,91,14724747,91,14724747,90,235775,0,780090105,0,797800981
Garuda Metalindo 1,1458125,September,161,81,158,59,87,96591717,87,96591717,87,086258,0,777568602,0,793356299
Garuda Metalindo 1,1458125,October,156,5,153,46,85,22522222,85,22522222,84,37297,0,778903111,0,794332965
Garuda Metalindo 1,1458125,November,171,76,169,08,93,68628889,93,68628889,92,749426,0,780159933,0,792525847
Garuda Metalindo 1,1458125,December,132,64,130,36,73,09495758,73,09495758,72,364008,0,788211094,0,801996928
Garuda Metalindo 2,1453245,January,106,90285,104,79985,52,07613593,55,548957,51,55537457,0,734566546,0,799276281
Garuda Metalindo 2,1453245,February,113,42695,111,11903,58,73124601,58,73124601,58,14393355,0,78079071,0,797007577
Garuda Metalindo 2,1453245,March,142,32221,139,60355,73,72488147,73,72488147,72,98763266,0,781129575,0,796341407
Garuda Metalindo 2,1453245,April,145,98115,143,37742,75,95946133,75,95946133,75,19986672,0,784633367,0,798882287
Garuda Metalindo 2,1453245,May,147,08716,144,54613,77,34390894,77,34390894,76,57046986,0,792926682,0,806865834
Garuda Metalindo 2,1453245,June,142,28707,139,71711,71,83872045,74,86616324,71,12033325,0,761333306,0,80801172
Garuda Metalindo 2,1453245,July,147,66552,144,99313,77,56218444,77,56218444,76,7865626,0,792050021,0,806648413
Garuda Metalindo 2,1453245,August,164,76953,161,89092,86,10592449,86,10592449,85,24486525,0,788021031,0,802032967
Garuda Metalindo 2,1453245,September,161,829,159,10239,83,53983128,83,53983128,82,70443297,0,778428845,0,791769134
Garuda Metalindo 2,1453245,October,155,31387,152,15175,80,64480877,80,64480877,79,83836069,0,782974922,0,799247234
Garuda Metalindo 2,1453245,November,166,75309,163,49067,82,67104815,85,80609299,81,84433767,0,747586122,0,791419654
Garuda Metalindo 2,1453245,December,134,56622,132,0214,69,3421653,69,3421653,68,64874365,0,777039369,0,792017435
