manufacturer,model,year,width,height,depth,weight,cell_type,cell_series,cell_parallel,diode_count,layout,p_nom,tol_low,tol_up,isc,voc,imp,vmp,mu_isc,mu_voc,mu_pmp,r_series,r_shunt,gamma,mu_gamma,max_voltage,air_mass,cell_area,lid_loss,rel_eff_800,rel_eff_600,rel_eff_400,rel_eff_200,iam_0,iam_25,iam_30,iam_40,iam_45,iam_50,iam_60,iam_65,iam_70,iam_75,iam_80,iam_85,iam_90
Jinkosolar 2023,JKM590N-72HL4-V,2023,1.134,2.278,0.035,27.0,Mono,72,2,3,TwinHalf,590,0,3.0,14.13,52.63,13.5,43.71,6.36,-150.0,-0.286,0.22,5400,1.03,-0.0002,1500,1.5,167.3,0.3,0.64,0.88,0.55,-1.19,1,,1,,,1.0,1.0,,0.989,0.971,0.931,0.737,0
Longi Solar,LR5-72 HPH 550 M,2020,1.133,2.256,0.035,27.2,Mono,72,2,3,TwinHalf,550,0,1.5,13.98,49.8,13.12,41.95,6.65,-133.7,-0.35,0.202,500,0.975,-0.0005,1500,1.5,161.0,,,,,-2.6,1,1,,,0.995,,0.962,0.936,0.903,0.851,0.754,,0
Longi Solar,LR5-72HPH-555M,2022,1.134,2.278,0.035,27.5,Mono,72,2,3,TwinHalf,555,0,3.0,14.04,49.95,13.19,42.1,7.93,-142.7,-0.331,0.172,200,0.983,-0.0005,1500,1.5,166.5,,0.36,0.43,0.46,-0.71,1,,1,,,0.998,0.998,,0.986,0.962,0.911,0.814,0
Longi Solar,LR5-72HTH-580M,2024,1.134,2.278,0.03,27.2,Mono,72,2,3,TwinHalf,580,0,3.0,14.2,52.21,13.17,44.06,7.1,-120.1,-0.29,0.198,200,1.053,-0.0003,1500,1.5,166.5,,0.55,0.65,0.53,-1.2,1,,,1,,1.0,1.0,,0.999,0.97,0.91,0.82,0
Trina Solar,TSM-620NE19R,2024,1.134,2.382,0.03,28.8,mtSiMono,66,2,3,TwinHalf,620,0,3.0,15.91,49.6,14.99,41.4,6.95,-140.0,-0.287,0.172,200,1.059,-0.0004,1500,1.5,191.0,0.05,0.59,0.83,0.55,-0.58,1,,1,,,1.0,1.0,,0.991,0.976,0.925,0.743,0
Longi Solar,LR5-72HPH-550M,2020,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinkosolar 2023,JKM-590N-72HL4-V,2023,,,,,,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trina Solar,TSM-DE20 590-610W_610W,2024,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trina Solar,TSM-NE19R-610,2024,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trina Solar,TSM-NE19R-620,2024,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trina Solar,TSM-620NEG19R,2024,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longi Solar,LR7-72HGD-620,2024,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
