Site;Capacity;Tariff;SiteOrder;CalculationStartDate;TotalInverters
pt._mmki_1.75_mwp_-_painting_building;1750.65;789.9997638;1;2023-02-13;10
pt._mmki_5.7_mwp_-_phase_2;5707.065;789.9997638;2;2024-06-26;17
pt._mmki_4.292_mwp_-_phase_3;4292;854.5185;3;2025-07-16;24
plts_mall_panakkukang;1243.72;797.5506;4;2024-12-19;10
garuda_metalindo_1;699.15;797.5506;5;2024-11-07;6
garuda_metalindo_2;663.16;797.5506;6;2024-11-07;6
garuda_metalindo_ikp;327.45;797.5506;7;2024-11-01;3
garuda_metalindo_mpf;366.98;683.6148;8;2024-11-11;3
pt._pusan_manis_mulia_2.06_mwp_-_tangerang;2060.16;707.95563;9;2024-11-26;14
shoetown_ligung_indonesia;2596.08;789.9997638;10;2025-01-09;18
charoen_pokphand_bandung;1462.17;807.9084;13;2025-09-01;10
charoen_pokphand_madiun;966.24;807.9084;14;2025-09-01;7
charoen_pokphand_majalengka;966.24;849.3396;12;2025-09-01;7
plts_frina_lestari_nusantara;979.99;880.413;11;2025-09-01;7
plts_rooftop_sumatera_prima_fibreboard;3046.68;650.780574;15;2025-10-01;18
pt_gelora_djaja_1_mwp;1000.4;776.84;16;2026-04-07;6
plts_rooftop_weiss_tech;238.08;683.61;19;2025-01-01;4
samator_ame_krian_6,82_kwp;6.82;;20;2025-01-01;1
samator_bali;9.92;;21;2025-01-01;1
samator_gas_industri_malang_6,82_kwp;6.82;;22;2025-01-01;1
samator_gas_industri_sidoarjo_6,82_kwp;6.82;;23;2025-01-01;1
samator_gas_industri_solo_6,82_kwp;6.82;;24;2025-01-01;2
samator_indo_gas_semarang_9,92_kwp;9.92;;25;2025-01-01;1
plts_ongrid_pt_suparma_tbk;3855.16;;17;2025-10-17;21
plts_on_grid_sorini_towa_berlian_corporindo;1813.5;523.52;18;2026-01-26;20
