source,site_id,site_name,pv_module_model,inverter_model,is_active,valid_from,valid_to,notes
FusionSolar,NE=50488260,PT. MMKI 1.75 MWp - Painting Building,LR5-72HPH-550M,SUN2000-215KTL-H0,true,,,
FusionSolar,NE=51758766,PT. MMKI 5.7 MWp - Phase 2,LR5-72HPH-555M,SUN2000-330KTL-H1,true,,,
FusionSolar,NE=53771627,PLTS Mall Panakkukang,JKM590N-72HL4-V,SUN2000-100KTL-M2,true,,,
FusionSolar,NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,LR5-72HTH-580M,SUN2000-115KTL-M2,true,,,
FusionSolar,NE=58630782,PT. MMKI 4.292 MWP - Phase 3,LR5-72HTH-580M,SUN2000-150K-MG0,true,,,
FusionSolar,NE=61847068,PT Gelora Djaja 1 MWp,TSM-NE19R-620,SG150CX,true,,,
FusionSolar,NE=62806354,PLTS ONGRID PT SUPARMA TBK,TSM-NE19R-620,SG150CX,true,,,
iSolarCloud,1445767,Garuda Metalindo (IKP),JKM-590N-72HL4-V,SG110CX,true,,,
iSolarCloud,1449886,Garuda Metalindo (MPF),JKM-590N-72HL4-V,SG110CX,true,,,
iSolarCloud,1453245,Garuda Metalindo 2,JKM-590N-72HL4-V,SG110CX,true,,,
iSolarCloud,1458125,Garuda Metalindo 1,JKM-590N-72HL4-V,SG110CX,true,,,
iSolarCloud,1479456,Shoetown Ligung Indonesia,LR5-72HTH-580M,SG125CX-P2,true,,,
iSolarCloud,1614122,Charoen Pokphand Majalengka,TSM-DE20 590-610W_610W,SG125CX-P2,true,,,
iSolarCloud,1628909,PLTS Frina Lestari Nusantara,JKM590N-72HL4-V,SG125CX-P2,true,,,
iSolarCloud,1637095,Charoen Pokphand Bandung,TSM-NE19R-610,SG125CX-P2,true,,,
iSolarCloud,1637816,Charoen Pokphand Madiun,TSM-DE20 590-610W_610W,SG125CX-P2,true,,,
iSolarCloud,1680199,PLTS Rooftop Sumatera Prima Fibreboard,TSM-NE19R-620,SG150CX,true,,,
iSolarCloud,1763661,PLTS On Grid Sorini Towa Berlian Corporindo,TSM-620NEG19R,SG150CX,true,,,
iSolarCloud,1789614,PLTS Rooftop Weiss Tech,LR7-72HGD-620,SG50CX-P2,true,,,
