site_id,site_name,mart_rows,mart_capacity_rows,mart_capacity_fill_pct,layout_active_rows,layout_rows_with_capacity_inputs,total_module_qty,layout_total_capacity_kw_stc,has_layout
1445767,Garuda Metalindo (IKP),29610,0,0.00,108,108,1110,654.90000000000000000000,YES
1449886,Garuda Metalindo (MPF),29322,0,0.00,108,108,1080,637.20000000000000000000,YES
1453245,Garuda Metalindo 2,59598,0,0.00,216,216,2248,1326.32000000000000000000,YES
1458125,Garuda Metalindo 1,56700,0,0.00,216,216,2370,1398.30000000000000000000,YES
1479456,Shoetown Ligung Indonesia,211920,0,0.00,0,0,0,0,NO
1614122,Charoen Pokphand Majalengka,49056,23862,48.64,168,82,1588,968.6800000000000000,YES
1628909,PLTS Frina Lestari Nusantara,46104,23246,50.42,336,336,3322,1959.98000000000000000000,YES
1637095,Charoen Pokphand Bandung,65280,31978,48.99,240,118,2358,1438.3800000000000000,YES
1637816,Charoen Pokphand Madiun,45144,22220,49.22,168,83,1584,966.2400000000000000,YES
1680199,PLTS Rooftop Sumatera Prima Fibreboard,76293,44398,58.19,378,260,4914,3046.6800000000000000,YES
1722752,"Samator Ame Krian 6,82 kWp",180,0,0.00,0,0,0,0,NO
1723575,"Samator Indo Gas Semarang 9,92 kWp",216,0,0.00,0,0,0,0,NO
1728142,"Samator Gas Industri Sidoarjo 6,82 kWP",184,0,0.00,0,0,0,0,NO
1730375,"Samator Gas Industri Solo 6,82 kWp",184,0,0.00,0,0,0,0,NO
1731512,Samator Bali,189,0,0.00,0,0,0,0,NO
1734912,"Samator Gas Industri Malang 6,82 kWp",186,0,0.00,0,0,0,0,NO
1763661,PLTS On Grid Sorini Towa Berlian Corporindo,19299,13125,68.01,210,146,2920,1810.4000000000000000,YES
1789614,PLTS Rooftop Weiss Tech,1728,0,0.00,0,0,0,0,NO
NE=50488260,PT. MMKI 1.75 MWp - Painting Building,146146,78914,54.00,288,288,6366,3501.30000000000000000000,YES
NE=51758766,PT. MMKI 5.7 MWp - Phase 2,325828,257951,79.17,476,476,10283,5707.06500000000000000000,YES
NE=53771627,PLTS Mall Panakkukang,131760,0,0.00,0,0,0,0,NO
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,190864,62376,32.68,200,200,2106,1221.48000000000000000000,YES
NE=58630782,PT. MMKI 4.292 MWP - Phase 3,199594,123838,62.04,504,388,7400,4292.0000000000000000,YES
NE=60951882,Hidden Valley,2342,0,0.00,0,0,0,0,NO
NE=61847068,PT Gelora Djaja 1 MWp,6786,4386,64.63,126,100,1618,1003.1600000000000000,YES
NE=62806354,PLTS ONGRID PT SUPARMA TBK,104367,63319,60.67,441,441,6273,3889.26000000000000000000,YES
