site_id,site_name,total_rows,pct_string_dc_capacity,pct_daily_poa,pct_daily_energy_kwh,pct_layout_orient_code,keterangan_string_dc_capacity,keterangan_daily_poa,keterangan_daily_energy,keterangan_layout_orient_code
1445767,Garuda Metalindo (IKP),1728,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1449886,Garuda Metalindo (MPF),1890,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1453245,Garuda Metalindo 2,3672,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1458125,Garuda Metalindo 1,3672,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1479456,Shoetown Ligung Indonesia,13824,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1614122,Charoen Pokphand Majalengka,5712,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1628909,PLTS Frina Lestari Nusantara,5880,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1637095,Charoen Pokphand Bandung,8400,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1637816,Charoen Pokphand Madiun,5880,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1680199,PLTS Rooftop Sumatera Prima Fibreboard,12096,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1722752,"Samator Ame Krian 6,82 kWp",70,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1723575,"Samator Indo Gas Semarang 9,92 kWp",51,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1728142,"Samator Gas Industri Sidoarjo 6,82 kWP",70,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1730375,"Samator Gas Industri Solo 6,82 kWp",68,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1731512,Samator Bali,24,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1734912,"Samator Gas Industri Malang 6,82 kWp",70,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1763661,PLTS On Grid Sorini Towa Berlian Corporindo,7350,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
1789614,PLTS Rooftop Weiss Tech,1088,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
NE=50488260,PT. MMKI 1.75 MWp - Painting Building,6708,52.06,93.80,100.00,51.58,TIDAK,ADA,ADA,TIDAK
NE=51758766,PT. MMKI 5.7 MWp - Phase 2,14532,100.00,93.45,100.00,79.07,ADA,ADA,ADA,TIDAK
NE=53771627,PLTS Mall Panakkukang,8060,76.92,93.55,100.00,76.92,TIDAK,ADA,ADA,TIDAK
NE=54435794,PT. Pusan Manis Mulia 2.06 MWp - Tangerang,11564,77.48,93.70,100.00,56.17,TIDAK,ADA,ADA,TIDAK
NE=58630782,PT. MMKI 4.292 MWP - Phase 3,17472,80.77,96.43,100.00,61.97,TIDAK,ADA,ADA,TIDAK
NE=60951882,Hidden Valley,834,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
NE=61847068,PT Gelora Djaja 1 MWp,3588,0.00,0.00,100.00,0.00,TIDAK,TIDAK,ADA,TIDAK
NE=62806354,PLTS ONGRID PT SUPARMA TBK,17724,81.64,93.84,100.00,61.09,TIDAK,ADA,ADA,TIDAK
