date,Site,Energy Daily (MWh),POA Daily (kWh/m2),PR POA
2024-04-30,MMKI 1,0.000050,3.604691,
2024-04-30,Total MMKI,0.000050,3.604691,
2024-05-01,MMKI 1,5.583160,3.861161,0.825967
2024-05-01,Total MMKI,5.583160,3.861161,0.825967
2024-05-02,MMKI 1,6.190980,4.334915,0.815792
2024-05-02,Total MMKI,6.190980,4.334915,0.815792
2024-05-03,MMKI 1,5.880370,4.071787,0.824936
2024-05-03,Total MMKI,5.880370,4.071787,0.824936
2024-05-04,MMKI 1,7.504950,5.322218,0.805482
2024-05-04,Total MMKI,7.504950,5.322218,0.805482
2024-05-05,MMKI 1,7.084240,5.019594,0.806168
2024-05-05,Total MMKI,7.084240,5.019594,0.806168
2024-05-06,MMKI 1,5.614240,3.934154,0.815155
2024-05-06,Total MMKI,5.614240,3.934154,0.815155
2024-05-07,MMKI 1,7.398640,5.250335,0.804944
2024-05-07,Total MMKI,7.398640,5.250335,0.804944
2024-05-08,MMKI 1,6.984220,5.023543,0.794161
2024-05-08,Total MMKI,6.984220,5.023543,0.794161
2024-05-09,MMKI 1,5.867880,4.149312,0.807804
2024-05-09,Total MMKI,5.867880,4.149312,0.807804
2024-05-10,MMKI 1,5.743170,4.037057,0.812620
2024-05-10,Total MMKI,5.743170,4.037057,0.812620
2024-05-11,MMKI 1,4.891850,3.450700,0.809779
2024-05-11,Total MMKI,4.891850,3.450700,0.809779
2024-05-12,MMKI 1,7.027960,5.057606,0.793752
2024-05-12,Total MMKI,7.027960,5.057606,0.793752
2024-05-13,MMKI 1,4.117510,2.912562,0.807533
2024-05-13,Total MMKI,4.117510,2.912562,0.807533
2024-05-14,MMKI 1,3.793880,2.727769,0.794468
2024-05-14,Total MMKI,3.793880,2.727769,0.794468
2024-05-15,MMKI 1,6.788330,5.088676,0.762007
2024-05-15,Total MMKI,6.788330,5.088676,0.762007
2024-05-16,MMKI 1,5.419800,3.958409,0.782102
2024-05-16,Total MMKI,5.419800,3.958409,0.782102
2024-05-17,MMKI 1,5.457620,3.955170,0.788204
2024-05-17,Total MMKI,5.457620,3.955170,0.788204
2024-05-18,MMKI 1,5.663850,4.074969,0.793941
2024-05-18,Total MMKI,5.663850,4.074969,0.793941
2024-05-19,MMKI 1,0.671420,0.382883,1.001679
2024-05-19,Total MMKI,0.671420,0.382883,1.001680
2024-05-20,MMKI 1,5.403080,3.745212,0.824073
2024-05-20,Total MMKI,5.403080,3.745212,0.824073
2024-05-21,MMKI 1,5.608350,3.892780,0.822955
2024-05-21,Total MMKI,5.608350,3.892780,0.822955
2024-05-22,MMKI 1,5.548020,3.861859,0.820620
2024-05-22,Total MMKI,5.548020,3.861859,0.820620
2024-05-23,MMKI 1,4.108100,2.860622,0.820316
