Site_Name;Site_Code;Week;Month;Date;GHI;POA;Energy Simulation (MW);Energy Target (MW);Daily PR POA Simulation;Daily PR POA Target;GHI vs POA;Daily PR GHI Simulation;Daily PR GHI Target
Garuda Metalindo 1;1458125;W1;January;01/01/2025;0.6;0.58;0.312475758;0.312475758;0.770580428;0.770580428;0.02;0.744894414;0.744894414
Garuda Metalindo 1;1458125;W1;January;02/01/2025;0.88;0.85;0.472789899;0.472789899;0.795570923;0.795570923;0.03;0.768449187;0.768449187
Garuda Metalindo 1;1458125;W1;January;03/01/2025;0.9;0.87;0.486353535;0.486353535;0.799580994;0.799580994;0.03;0.772928294;0.772928294
Garuda Metalindo 1;1458125;W1;January;04/01/2025;6.8;6.75;3.655416162;3.655416162;0.774573604;0.774573604;0.05;0.76887821;0.76887821
Garuda Metalindo 1;1458125;W1;January;05/01/2025;2.45;2.38;1.371062626;1.371062626;0.823967294;0.823967294;0.07;0.800425371;0.800425371
Garuda Metalindo 1;1458125;W2;January;06/01/2025;4.14;4.08;2.311966667;2.311966667;0.810496312;0.810496312;0.06;0.798749989;0.798749989
Garuda Metalindo 1;1458125;W2;January;07/01/2025;3.89;3.84;2.186043434;2.186043434;0.814248937;0.814248937;0.05;0.803783012;0.803783012
Garuda Metalindo 1;1458125;W2;January;08/01/2025;1.61;1.56;0.894389899;0.894389899;0.820034125;0.820034125;0.05;0.794567226;0.794567226
Garuda Metalindo 1;1458125;W2;January;09/01/2025;6.22;6.15;3.398158586;3.398158586;0.790311252;0.790311252;0.07;0.781417073;0.781417073
Garuda Metalindo 1;1458125;W2;January;10/01/2025;3.78;3.71;2.009350505;2.009350505;0.77466053;0.77466053;0.07;0.760314965;0.760314965
Garuda Metalindo 1;1458125;W2;January;11/01/2025;3.4;3.33;1.907464646;1.907464646;0.819298014;0.819298014;0.07;0.802430113;0.802430113
Garuda Metalindo 1;1458125;W2;January;12/01/2025;4.13;4.04;2.338536364;2.338536364;0.827927676;0.827927676;0.09;0.809885668;0.809885668
Garuda Metalindo 1;1458125;W3;January;13/01/2025;2.88;2.81;1.630051515;1.630051515;0.829706797;0.829706797;0.07;0.809540312;0.809540312
Garuda Metalindo 1;1458125;W3;January;14/01/2025;7.47;7.39;3.915513131;3.915513131;0.757833648;0.757833648;0.08;0.749717625;0.749717625
Garuda Metalindo 1;1458125;W3;January;15/01/2025;2.74;2.68;1.55310101;1.55310101;0.828885507;0.828885507;0.06;0.81073473;0.81073473
Garuda Metalindo 1;1458125;W3;January;16/01/2025;1.97;1.91;1.107519192;1.107519192;0.82936849;0.82936849;0.06;0.804108536;0.804108536
Garuda Metalindo 1;1458125;W3;January;17/01/2025;0.96;0.93;0.52499899;0.52499899;0.807430513;0.807430513;0.03;0.782198309;0.782198309
Garuda Metalindo 1;1458125;W3;January;18/01/2025;2.47;2.4;1.384787879;1.384787879;0.825280626;0.825280626;0.07;0.801892106;0.801892106
Garuda Metalindo 1;1458125;W3;January;19/01/2025;3.89;3.84;2.130761616;2.130761616;0.793657781;0.793657781;0.05;0.783456524;0.783456524
Garuda Metalindo 1;1458125;W4;January;20/01/2025;3.15;3.11;1.769708081;1.769708081;0.81389969;0.81389969;0.04;0.803564456;0.803564456
Garuda Metalindo 1;1458125;W4;January;21/01/2025;7.4;7.32;3.862868687;3.862868687;0.754794109;0.754794109;0.08;0.746634173;0.746634173
Garuda Metalindo 1;1458125;W4;January;22/01/2025;6.23;6.16;3.373489899;3.373489899;0.783300385;0.783300385;0.07;0.774499257;0.774499257
Garuda Metalindo 1;1458125;W4;January;23/01/2025;4.81;4.74;2.670035354;2.670035354;0.805690621;0.805690621;0.07;0.793965394;0.793965394
Garuda Metalindo 1;1458125;W4;January;24/01/2025;3.55;3.49;2.015950505;2.015950505;0.82619788;0.82619788;0.06;0.812233972;0.812233972
Garuda Metalindo 1;1458125;W4;January;25/01/2025;3.9;3.84;2.089924242;2.089924242;0.778446835;0.778446835;0.06;0.76647073;0.76647073
Garuda Metalindo 1;1458125;W4;January;26/01/2025;2.41;2.34;1.351981818;1.351981818;0.826389198;0.826389198;0.07;0.802386192;0.802386192
Garuda Metalindo 1;1458125;W5;January;27/01/2025;2.61;2.54;1.464358586;1.464358586;0.824600055;0.824600055;0.07;0.802484344;0.802484344
Garuda Metalindo 1;1458125;W5;January;28/01/2025;5.33;5.25;2.867821212;2.867821212;0.781308245;0.781308245;0.08;0.769581292;0.769581292
Garuda Metalindo 1;1458125;W5;January;29/01/2025;1.82;1.76;1.013714141;1.013714141;0.823820273;0.823820273;0.06;0.796661363;0.796661363
Garuda Metalindo 1;1458125;W5;January;30/01/2025;2.94;2.88;1.651614141;1.651614141;0.820249063;0.820249063;0.06;0.803509286;0.803509286
Garuda Metalindo 1;1458125;W5;January;31/01/2025;3.42;3.36;1.899611111;1.899611111;0.808639705;0.808639705;0.06;0.794453043;0.794453043
Garuda Metalindo 1;1458125;W1;February;01/02/2025;5.17;5.09;2.776523232;2.776523232;0.780212973;0.780212973;0.08;0.768140045;0.768140045
Garuda Metalindo 1;1458125;W1;February;02/02/2025;3.65;3.59;2.021418182;2.021418182;0.805362414;0.805362414;0.06;0.792123579;0.792123579
Garuda Metalindo 1;1458125;W2;February;03/02/2025;6.52;6.44;3.523427273;3.523427273;0.78254457;0.78254457;0.08;0.772942796;0.772942796
Garuda Metalindo 1;1458125;W2;February;04/02/2025;5.25;5.17;2.909677778;2.909677778;0.804977964;0.804977964;0.08;0.792711634;0.792711634
Garuda Metalindo 1;1458125;W2;February;05/02/2025;0.61;0.58;0.319754545;0.319754545;0.788530273;0.788530273;0.03;0.749750096;0.749750096
