"platform","metric_id","forward_active_energy_Wh","metric_group","metric_unit","used","unified_name"
"fusion","pv1_u","string_1_voltage","string","V","yes","string_1_voltage"
"fusion","pv2_u","string_2_voltage","string","V","yes","string_2_voltage"
"fusion","pv3_u","string_3_voltage","string","V","yes","string_3_voltage"
"fusion","pv4_u","string_4_voltage","string","V","yes","string_4_voltage"
"fusion","pv5_u","string_5_voltage","string","V","yes","string_5_voltage"
"fusion","pv6_u","string_6_voltage","string","V","yes","string_6_voltage"
"fusion","pv7_u","string_7_voltage","string","V","yes","string_7_voltage"
"fusion","pv8_u","string_8_voltage","string","V","yes","string_8_voltage"
"fusion","pv9_u","string_9_voltage","string","V","yes","string_9_voltage"
"fusion","pv10_u","string_10_voltage","string","V","yes","string_10_voltage"
"fusion","pv11_u","string_11_voltage","string","V","yes","string_11_voltage"
"fusion","pv12_u","string_12_voltage","string","V","yes","string_12_voltage"
"fusion","pv13_u","string_13_voltage","string","V","yes","string_13_voltage"
"fusion","pv14_u","string_14_voltage","string","V","yes","string_14_voltage"
"fusion","pv15_u","string_15_voltage","string","V","yes","string_15_voltage"
"fusion","pv16_u","string_16_voltage","string","V","yes","string_16_voltage"
"fusion","pv17_u","string_17_voltage","string","V","yes","string_17_voltage"
"fusion","pv18_u","string_18_voltage","string","V","yes","string_18_voltage"
"fusion","pv19_u","string_19_voltage","string","V","yes","string_19_voltage"
"fusion","pv20_u","string_20_voltage","string","V","yes","string_20_voltage"
"fusion","pv21_u","string_21_voltage","string","V","yes","string_21_voltage"
"fusion","pv22_u","string_22_voltage","string","V","yes","string_22_voltage"
"fusion","pv23_u","string_23_voltage","string","V","yes","string_23_voltage"
"fusion","pv24_u","string_24_voltage","string","V","yes","string_24_voltage"
"fusion","pv25_u","string_25_voltage","string","V","yes","string_25_voltage"
"fusion","pv26_u","string_26_voltage","string","V","yes","string_26_voltage"
"fusion","pv27_u","string_27_voltage","string","V","yes","string_27_voltage"
"fusion","pv28_u","string_28_voltage","string","V","yes","string_28_voltage"
"fusion","pv29_u","string_29_voltage","string","V","",""
"fusion","pv30_u","string_30_voltage","string","V","",""
"fusion","pv31_u","string_31_voltage","string","V","",""
"fusion","pv32_u","string_32_voltage","string","V","",""
"fusion","pv33_u","string_33_voltage","string","V","",""
"fusion","pv34_u","string_34_voltage","string","V","",""
"fusion","pv35_u","string_35_voltage","string","V","",""
"fusion","pv36_u","string_36_voltage","string","V","",""
"fusion","pv1_i","string_1_current","string","A","yes","string_1_current"
"fusion","pv2_i","string_2_current","string","A","yes","string_2_current"
"fusion","pv3_i","string_3_current","string","A","yes","string_3_current"
"fusion","pv4_i","string_4_current","string","A","yes","string_4_current"
"fusion","pv5_i","string_5_current","string","A","yes","string_5_current"
"fusion","pv6_i","string_6_current","string","A","yes","string_6_current"
"fusion","pv7_i","string_7_current","string","A","yes","string_7_current"
"fusion","pv8_i","string_8_current","string","A","yes","string_8_current"
"fusion","pv9_i","string_9_current","string","A","yes","string_9_current"
"fusion","pv10_i","string_10_current","string","A","yes","string_10_current"
"fusion","pv11_i","string_11_current","string","A","yes","string_11_current"
"fusion","pv12_i","string_12_current","string","A","yes","string_12_current"
"fusion","pv13_i","string_13_current","string","A","yes","string_13_current"
"fusion","pv14_i","string_14_current","string","A","yes","string_14_current"
"fusion","pv15_i","string_15_current","string","A","yes","string_15_current"
"fusion","pv16_i","string_16_current","string","A","yes","string_16_current"
"fusion","pv17_i","string_17_current","string","A","yes","string_17_current"
"fusion","pv18_i","string_18_current","string","A","yes","string_18_current"
"fusion","pv19_i","string_19_current","string","A","yes","string_19_current"
"fusion","pv20_i","string_20_current","string","A","yes","string_20_current"
"fusion","pv21_i","string_21_current","string","A","yes","string_21_current"
"fusion","pv22_i","string_22_current","string","A","yes","string_22_current"
"fusion","pv23_i","string_23_current","string","A","yes","string_23_current"
"fusion","pv24_i","string_24_current","string","A","yes","string_24_current"
"fusion","pv25_i","string_25_current","string","A","yes","string_25_current"
"fusion","pv26_i","string_26_current","string","A","yes","string_26_current"
"fusion","pv27_i","string_27_current","string","A","yes","string_27_current"
"fusion","pv28_i","string_28_current","string","A","yes","string_28_current"
"fusion","pv29_i","string_29_current","string","A","",""
"fusion","pv30_i","string_30_current","string","A","",""
"fusion","pv31_i","string_31_current","string","A","",""
"fusion","pv32_i","string_32_current","string","A","",""
"fusion","pv33_i","string_33_current","string","A","",""
"fusion","pv34_i","string_34_current","string","A","",""
"fusion","pv35_i","string_35_current","string","A","",""
"fusion","pv36_i","string_36_current","string","A","",""
"fusion","mppt_1_cap","mppt_1_capacity","inverter","W","",""
"fusion","mppt_2_cap","mppt_2_capacity","inverter","W","",""
"fusion","mppt_3_cap","mppt_3_capacity","inverter","W","",""
"fusion","mppt_4_cap","mppt_4_capacity","inverter","W","",""
"fusion","mppt_5_cap","mppt_5_capacity","inverter","W","",""
"fusion","mppt_6_cap","mppt_6_capacity","inverter","W","",""
"fusion","mppt_7_cap","mppt_7_capacity","inverter","W","",""
"fusion","mppt_8_cap","mppt_8_capacity","inverter","W","",""
"fusion","mppt_9_cap","mppt_9_capacity","inverter","W","",""
"fusion","mppt_10_cap","mppt_10_capacity","inverter","W","",""
"fusion","mppt_total_cap","mppt_total_capacity","inverter","W","",""
"fusion","mppt_power","mppt_total_power","inverter","kW","",""
"fusion","active_power","active_power","inverter","kW","yes",""
"fusion","reactive_power","reactive_power","inverter","kVar","",""
"fusion","power_factor","power_factor","inverter","","",""
"fusion","efficiency","inverter_efficiency","inverter","%","",""
"fusion","temperature","internal_temperature","inverter","Â°C","",""
"fusion","inverter_state","inverter_state","inverter","","",""
"fusion","day_cap","daily_energy_yield","inverter","kWh","",""
"fusion","total_cap","total_energy_yield","inverter","kWh","",""
"fusion","open_time","inverter_startup_time","inverter","ms","",""
"fusion","close_time","inverter_shutdown_time","inverter","ms","",""
"fusion","a_u","phase_a_voltage","meter","V","",""
"fusion","b_u","phase_b_voltage","meter","V","",""
"fusion","c_u","phase_c_voltage","meter","V","",""
"fusion","a_i","phase_a_current","meter","A","",""
"fusion","b_i","phase_b_current","meter","A","",""
"fusion","c_i","phase_c_current","meter","A","",""
"fusion","ab_u","a_b_line_voltage","meter","V","",""
"fusion","bc_u","b_c_line_voltage","meter","V","",""
"fusion","ca_u","c_a_line_voltage","meter","V","",""
"fusion","grid_frequency","grid_frequency","meter","Hz","",""
"fusion","grid_frequency","electrical_frequency","meter","Hz","",""
"fusion","active_cap","active_energy","meter","kWh","yes","positive_active_energy"
"fusion","active_power","active_power","meter","W","yes","active_power"
"fusion","power_factor","power_factor","meter","","yes","power_factor"
"fusion","reverse_reactive_valley","reverse_reactive_valley","meter","","",""
"fusion","positive_reactive_peak","positive_reactive_peak","meter","","",""
"fusion","reverse_reactive_peak","reverse_reactive_peak","meter","","",""
"fusion","reverse_active_peak","reverse_active_peak","meter","","",""
"fusion","positive_active_peak","positive_active_peak","meter","","",""
"fusion","total_apparent_power","total_apparent_power","meter","kVA","",""
"fusion","reverse_active_cap","reverse_active_energy","meter","kWh","yes","negative_active_energy"
"fusion","reverse_reactive_power","reverse_reactive_power","meter","kVar","",""
"fusion","positive_reactive_top","positive_reactive_top","meter","","",""
"fusion","active_power_b","active_power_b","meter","W","",""
"fusion","active_power_a","active_power_a","meter","W","",""
"fusion","positive_active_top","positive_active_top","meter","","",""
"fusion","reverse_reactive_cap","reverse_reactive_energy","meter","kVarh","yes","negative_reactive_energy"
"fusion","positive_active_power","positive_active_power","meter","W","",""
"fusion","positive_active_valley","positive_active_valley","meter","","",""
"fusion","reverse_reactive_top","reverse_reactive_top","meter","","",""
"fusion","reverse_active_power","reverse_active_power","meter","W","",""
"fusion","reverse_active_top","reverse_active_top","meter","","",""
"fusion","reactive_power_a","reactive_power_a","meter","kVar","",""
"fusion","forward_reactive_cap","forward_reactive_energy","meter","kVarh","yes","positive_reactive_energy"
"fusion","reactive_power_b","reactive_power_b","meter","kVar","",""
"fusion","reactive_power_c","reactive_power_c","meter","kVar","",""
"fusion","reverse_active_valley","reverse_active_valley","meter","","",""
"fusion","positive_reactive_power","reverse_active_valley","meter","kVar","",""
"fusion","active_power_c","active_power_c","meter","W","",""
"fusion","positive_reactive_valley","positive_reactive_valley","meter","","",""
"fusion","pv_temperature","module_temperature","meteo","Â°C","","pv_temp"
"fusion","humidity","humidity","meteo","%","",""
"fusion","wind_speed","wind_speed","meteo","m/s","",""
"fusion","wind_direction","wind_direction","meteo","","",""
"fusion","rainfall","rainfall","meteo","mm","","rainfall"
"fusion","radiant_line","irradiance","meteo","W/mÂ²","yes","ghi"
"fusion","radiant_total","daily_irradiance","meteo","MJ/mÂ²","yes","daily_ghi"
"fusion","horiz_radiant_line","horizontal_irradiance","meteo","W/mÂ²","yes","poa"
"fusion","horiz_radiant_total","horizontal_irradiation","meteo","MJ/mÂ²","yes","daily_poa"
"isolar","p8030","forward_active_energy_Wh","meter","Wh","yes","positive_active_energy"
"isolar","p8031","reverse_active_energy_Wh","meter","Wh","yes","negative_active_energy"
"isolar","p8032","forward_reactive_energy_varh","meter","varh","yes","positive_reactive_energy"
"isolar","p8033","reverse_reactive_energy_varh","meter","varh","yes","negative_reactive_energy"
"isolar","p8014","power_factor","meter","","yes","power_factor"
"isolar","p8018","active_power","meter","W","yes","active_power"
"isolar","p2003","Transient Horizontal Irradiation _W_per_m2","meteo","W/mÂ²","yes","ghi"
"isolar","p2001","Daily Horizontal Irradiation_W_per_m2 ","meteo","W/mÂ²","yes","daily_ghi"
"isolar","p2007","Slope Transient Irradiation_W_per_m2 ","meteo","W/mÂ²","yes","poa"
"isolar","p2005","Slope Daily Irradiation_W_per_m2 ","meteo","W/mÂ²","yes","daily_poa"
"isolar","p2009","Ambient Temperature_C ","meteo","C","",""
"isolar","p2010","PV Temperature_C ","meteo","C","","pv_temp"
"isolar","p2022","Rainfall_mm ","meteo","mm","","rainfall"
"isolar","p96","string_1_voltage","string","V","yes","string_1_voltage"
"isolar","p97","string_2_voltage","string","V","yes","string_2_voltage"
"isolar","p98","string_3_voltage","string","V","yes","string_3_voltage"
"isolar","p99","string_4_voltage","string","V","yes","string_4_voltage"
"isolar","p100","string_5_voltage","string","V","yes","string_5_voltage"
"isolar","p101","string_6_voltage","string","V","yes","string_6_voltage"
