"Source","site_id","dev_name","device_id","sensor_type"
"FusionSolar","NE=50488260","EMI-Enviro Sensor","EM00102287046729","GHI"
"FusionSolar","NE=50488260","EMI-EM06102287046729","EM06102287046729","POA"
"FusionSolar","NE=50488260","EMI-EM05102287046729","EM05102287046729","POA"
"FusionSolar","NE=50488260","EMI-EM04102287046729","EM04102287046729","POA"
"FusionSolar","NE=50488260","EMI-EM03102287046729","EM03102287046729","POA"
"FusionSolar","NE=50488260","EMI-EM09102287046729","EM09102287046729","POA"
"FusionSolar","NE=50488260","EMI-EM08102287046729","EM08102287046729","POA"
"FusionSolar","NE=50488260","EMI-EM07102287046729","EM07102287046729","POA"
"FusionSolar","NE=50488260","EMI-2 [SOUTH]","EM02102287046729","POA"
"FusionSolar","NE=50488260","EMI-1 [NORTH]","EM01102287046729","POA"
"FusionSolar","NE=51758766","AMBTEMP-PH","EM001023B7436516",""
"FusionSolar","NE=51758766","IRR-AMB-SE-ASSY","EM051023B7436516","POA"
"FusionSolar","NE=51758766","IRR-MOD-NW-ASSY2","EM031023B7436516","POA"
"FusionSolar","NE=51758766","IRR-AMB-NE-ASSY1","EM011023B7436516","POA"
"FusionSolar","NE=51758766","IRR-MOD-NW-Assembly","EM021023B7436516","POA"
"FusionSolar","NE=51758766","WTST - Assembly","EM041023B7436516","Weather"
"FusionSolar","NE=51758766","IRR-AMB-NW-Bod Stamp","EM011023C7355634","POA"
"FusionSolar","NE=51758766","IRR-MOD-NW-Bod Stamp","EM001023C7355634","POA"
"FusionSolar","NE=51758766","WTST - Body Stamping","EM021023C7355634","Weather"
"FusionSolar","NE=53771627","IRR-C-E(COM2-27)","EM061023A5160368","POA"
"FusionSolar","NE=53771627","IRR-B-NW(COM2-25)","EM041023A5160368","POA"
"FusionSolar","NE=53771627","IRR-C-W(COM2-26)","EM051023A5160368","POA"
"FusionSolar","NE=53771627","IRR-A-S(COM2-30)","EM091023A5160368","POA"
"FusionSolar","NE=53771627","WST(COM2-60)","EM0A1023A5160368","Weather"
"FusionSolar","NE=53771627","IRR-B-NE(COM2-22)","EM011023A5160368","POA"
"FusionSolar","NE=53771627","IRR-A-N(COM2-29)","EM081023A5160368","POA"
"FusionSolar","NE=53771627","IRR-D-N(COM2-28)","EM071023A5160368","POA"
"FusionSolar","NE=53771627","PYR(COM2-21)","EM001023A5160368","GHI"
"FusionSolar","NE=53771627","IRR-B-SE(COM2-23)","EM021023A5160368","POA"
"FusionSolar","NE=53771627","IRR-B-SW(COM2-24)","EM031023A5160368","POA"
"FusionSolar","NE=54435794","EMI-EM0B102459944283","EM0B102459944283","POA"
"FusionSolar","NE=54435794","EMI-EM0D102459944283","EM0D102459944283","POA"
"FusionSolar","NE=54435794","EMI-EM0C102459944283","EM0C102459944283","POA"
"FusionSolar","NE=54435794","EMI-EM0A102459944283","EM0A102459944283","POA"
"FusionSolar","NE=54435794","IRR-04","EM03102459944283","POA"
"FusionSolar","NE=54435794","WTH-01","EM04102459944283","Weather"
"FusionSolar","NE=54435794","IRR-03","EM01102459944283","POA"
"FusionSolar","NE=54435794","IRR-06","EM05102459944283","POA"
"FusionSolar","NE=54435794","IRR-08","EM08102459944283","POA"
"FusionSolar","NE=54435794","IRR-05","EM06102459944283","POA"
"FusionSolar","NE=54435794","IRR-07","EM07102459944283","POA"
"FusionSolar","NE=54435794","IRR-02","EM02102459944283","POA"
