Site_Name,Site_Code,Year,"Energy TS 
(MWh)","Energy Sim Target 
(MWh)",,,
Garuda Metalindo 1,1458125,1,930,604,940,0040404,,,
Garuda Metalindo 1,1458125,2,927,539,936,9080808,,,
Garuda Metalindo 1,1458125,3,923,981,933,3141414,,,
Garuda Metalindo 1,1458125,4,919,936,929,2282828,,,
Garuda Metalindo 1,1458125,5,915,406,924,6525253,,,
Garuda Metalindo 1,1458125,6,910,045,919,2373737,,,
Garuda Metalindo 1,1458125,7,903,934,913,0646465,,,
Garuda Metalindo 1,1458125,8,897,602,906,6686869,,,
Garuda Metalindo 1,1458125,9,891,217,900,2191919,,,
Garuda Metalindo 1,1458125,10,884,95,893,8888889,,,
Garuda Metalindo 1,1458125,11,879,464,888,3474747,,,
Garuda Metalindo 1,1458125,12,874,806,883,6424242,,,
Garuda Metalindo 1,1458125,13,870,414,879,2060606,,,
Garuda Metalindo 1,1458125,14,866,22,874,969697,,,
Garuda Metalindo 1,1458125,15,862,157,870,8656566,,,
Garuda Metalindo 1,1458125,16,858,359,867,0292929,,,
Garuda Metalindo 1,1458125,17,854,708,863,3414141,,,
Garuda Metalindo 1,1458125,18,850,836,859,430303,,,
Garuda Metalindo 1,1458125,19,846,58,855,1313131,,,
Garuda Metalindo 1,1458125,20,841,775,850,2777778,,,
Garuda Metalindo 1,1458125,21,835,513,843,9525253,,,
Garuda Metalindo 1,1458125,22,827,817,836,1787879,,,
Garuda Metalindo 1,1458125,23,819,632,827,9111111,,,
Garuda Metalindo 1,1458125,24,811,156,819,3494949,,,
Garuda Metalindo 1,1458125,25,802,577,810,6838384,,,
Garuda Metalindo 2,1453245,1,880,645,889,540404,,,
Garuda Metalindo 2,1453245,2,877,663,886,5282828,,,
Garuda Metalindo 2,1453245,3,874,23,883,0606061,,,
Garuda Metalindo 2,1453245,4,870,354,879,1454545,,,
Garuda Metalindo 2,1453245,5,866,033,874,7808081,,,
Garuda Metalindo 2,1453245,6,860,966,869,6626263,,,
Garuda Metalindo 2,1453245,7,855,228,863,8666667,,,
Garuda Metalindo 2,1453245,8,849,273,857,8515152,,,
Garuda Metalindo 2,1453245,9,843,244,851,7616162,,,
Garuda Metalindo 2,1453245,10,837,293,845,7505051,,,
Garuda Metalindo 2,1453245,11,831,958,840,3616162,,,
Garuda Metalindo 2,1453245,12,827,294,835,6505051,,,
Garuda Metalindo 2,1453245,13,822,859,831,1707071,,,
Garuda Metalindo 2,1453245,14,818,609,826,8777778,,,
Garuda Metalindo 2,1453245,15,814,5,822,7272727,,,
Garuda Metalindo 2,1453245,16,810,683,818,8717172,,,
Garuda Metalindo 2,1453245,17,807,071,815,2232323,,,
Garuda Metalindo 2,1453245,18,803,322,811,4363636,,,
Garuda Metalindo 2,1453245,19,799,298,807,3717172,,,
Garuda Metalindo 2,1453245,20,794,866,802,8949495,,,
Garuda Metalindo 2,1453245,21,789,377,797,3505051,,,
Garuda Metalindo 2,1453245,22,782,824,790,7313131,,,
Garuda Metalindo 2,1453245,23,775,824,783,6606061,,,
Garuda Metalindo 2,1453245,24,768,486,776,2484848,,,
Garuda Metalindo 2,1453245,25,760,914,768,6,,,
Garuda Metalindo (IKP),1445767,1,469,296,474,0363636,,,
Garuda Metalindo (IKP),1445767,2,467,472,472,1939394,,,
Garuda Metalindo (IKP),1445767,3,465,44,470,1414141,,,
Garuda Metalindo (IKP),1445767,4,463,202,467,8808081,,,
Garuda Metalindo (IKP),1445767,5,460,763,465,4171717,,,
Garuda Metalindo (IKP),1445767,6,457,975,462,6010101,,,
Garuda Metalindo (IKP),1445767,7,454,878,459,4727273,,,
Garuda Metalindo (IKP),1445767,8,451,694,456,2565657,,,
Garuda Metalindo (IKP),1445767,9,448,495,453,0252525,,,
Garuda Metalindo (IKP),1445767,10,445,351,449,8494949,,,
Garuda Metalindo (IKP),1445767,11,442,52,446,989899,,,
Garuda Metalindo (IKP),1445767,12,440,023,444,4676768,,,
Garuda Metalindo (IKP),1445767,13,437,649,442,069697,,,
Garuda Metalindo (IKP),1445767,14,435,376,439,7737374,,,
Garuda Metalindo (IKP),1445767,15,433,18,437,5555556,,,
Garuda Metalindo (IKP),1445767,16,431,185,435,540404,,,
Garuda Metalindo (IKP),1445767,17,429,333,433,669697,,,
Garuda Metalindo (IKP),1445767,18,427,39,431,7070707,,,
Garuda Metalindo (IKP),1445767,19,425,265,429,5606061,,,
Garuda Metalindo (IKP),1445767,20,422,876,427,1474747,,,
Garuda Metalindo (IKP),1445767,21,419,781,424,0212121,,,
Garuda Metalindo (IKP),1445767,22,415,987,420,1888889,,,
Garuda Metalindo (IKP),1445767,23,411,934,416,0949495,,,
Garuda Metalindo (IKP),1445767,24,407,705,411,8232323,,,
Garuda Metalindo (IKP),1445767,25,403,383,407,4575758,,,
Garuda Metalindo (MPF),1449886,1,500,687,505,7444444,,,
Garuda Metalindo (MPF),1449886,2,498,883,503,9222222,,,
Garuda Metalindo (MPF),1449886,3,496,783,501,8010101,,,
Garuda Metalindo (MPF),1449886,4,494,392,499,3858586,,,
Garuda Metalindo (MPF),1449886,5,491,713,496,679798,,,
Garuda Metalindo (MPF),1449886,6,488,537,493,4717172,,,
Garuda Metalindo (MPF),1449886,7,484,92,489,8181818,,,
Garuda Metalindo (MPF),1449886,8,481,174,486,0343434,,,
Garuda Metalindo (MPF),1449886,9,477,403,482,2252525,,,
Garuda Metalindo (MPF),1449886,10,473,709,478,4939394,,,
Garuda Metalindo (MPF),1449886,11,470,469,475,2212121,,,
Garuda Metalindo (MPF),1449886,12,467,709,472,4333333,,,
Garuda Metalindo (MPF),1449886,13,465,12,469,8181818,,,
Garuda Metalindo (MPF),1449886,14,462,668,467,3414141,,,
Garuda Metalindo (MPF),1449886,15,460,317,464,9666667,,,
Garuda Metalindo (MPF),1449886,16,458,192,462,820202,,,
Garuda Metalindo (MPF),1449886,17,456,22,460,8282828,,,
Garuda Metalindo (MPF),1449886,18,454,139,458,7262626,,,
Garuda Metalindo (MPF),1449886,19,451,841,456,4050505,,,
Garuda Metalindo (MPF),1449886,20,449,223,453,7606061,,,
Garuda Metalindo (MPF),1449886,21,445,738,450,240404,,,
Garuda Metalindo (MPF),1449886,22,441,398,445,8565657,,,
Garuda Metalindo (MPF),1449886,23,436,768,441,179798,,,
Garuda Metalindo (MPF),1449886,24,431,961,436,3242424,,,
Garuda Metalindo (MPF),1449886,25,427,085,431,3989899,,,
Shoetown Ligung Indonesia,1479456,1,3807,306,3820,678374,,,
Shoetown Ligung Indonesia,1479456,2,3787,934,3801,238334,,,
Shoetown Ligung Indonesia,1479456,3,3766,511,3779,74009,,,
Shoetown Ligung Indonesia,1479456,4,3743,066,3756,212745,,,
Shoetown Ligung Indonesia,1479456,5,3717,639,3730,696438,,,
Shoetown Ligung Indonesia,1479456,6,3688,884,3701,840442,,,
Shoetown Ligung Indonesia,1479456,7,3657,192,3670,03713,,,
Shoetown Ligung Indonesia,1479456,8,3624,604,3637,334671,,,
Shoetown Ligung Indonesia,1479456,9,3591,795,3604,410437,,,
Shoetown Ligung Indonesia,1479456,10,3559,419,3571,920723,,,
Shoetown Ligung Indonesia,1479456,11,3529,813,3542,210738,,,
Shoetown Ligung Indonesia,1479456,12,3503,16,3515,464124,,,
Shoetown Ligung Indonesia,1479456,13,3477,556,3489,770196,,,
Shoetown Ligung Indonesia,1479456,14,3452,832,3464,959358,,,
Shoetown Ligung Indonesia,1479456,15,3428,793,3440,835926,,,
Shoetown Ligung Indonesia,1479456,16,3406,3,3418,263924,,,
Shoetown Ligung Indonesia,1479456,17,3384,886,3396,774711,,,
Shoetown Ligung Indonesia,1479456,18,3362,829,3374,640241,,,
Shoetown Ligung Indonesia,1479456,19,3339,435,3351,164074,,,
Shoetown Ligung Indonesia,1479456,20,3314,064,3325,703964,,,
Shoetown Ligung Indonesia,1479456,21,3282,228,3293,756147,,,
Shoetown Ligung Indonesia,1479456,22,3246,134,3257,535374,,,
Shoetown Ligung Indonesia,1479456,23,3208,194,3219,462117,,,
Shoetown Ligung Indonesia,1479456,24,3169,094,3180,224787,,,
Shoetown Ligung Indonesia,1479456,25,3129,528,3140,519819,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,1,2455,2,2455,2,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,2,2442,9,2442,9,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,3,2430,7,2430,7,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,4,2418,6,2418,6,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,5,2406,5,2406,5,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,6,2394,4,2394,4,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,7,2382,5,2382,5,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,8,2370,5,2370,5,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,9,2358,7,2358,7,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,10,2346,9,2346,9,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,11,2335,2,2335,2,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,12,2323,5,2323,5,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,13,2311,9,2311,9,,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,14,2300,3,2300,3,,,
